month,sst_lag0,sst_lag1,sst_lag2,sst_lag3,tauu_lag0,tauu_lag1,tauu_lag2,tauu_lag3,olr_lag0,olr_lag1,olr_lag2,olr_lag3,slp_lag0,slp_lag1,slp_lag2,slp_lag3,d20_lag0,d20_lag1,d20_lag2,d20_lag3
1,9.372205e-05,4.957159e-05,2.5819401e-05,9.263112e-05,6.862152e-05,4.179522e-05,2.7328402e-05,2.1869555e-05,0.00014670113,8.270273e-05,4.0144954e-05,4.48882e-05,4.198076e-05,3.201222e-05,1.569352e-05,2.3897384e-05,7.1773335e-05,6.295551e-05,4.639978e-05,0.00011351801
2,9.647726e-05,4.9768973e-05,2.8232484e-05,8.7414184e-05,8.217079e-05,4.041234e-05,3.138328e-05,2.3646811e-05,0.00016732332,9.09138e-05,4.7788788e-05,5.5137705e-05,4.4664386e-05,3.615959e-05,1.583352e-05,2.907469e-05,7.693542e-05,6.6984314e-05,4.878822e-05,0.00011833735
3,0.000110805886,5.3198994e-05,3.2177973e-05,9.204573e-05,7.178998e-05,5.2901763e-05,3.8823862e-05,3.1353145e-05,0.00019151269,0.00011273733,5.8069192e-05,7.0284535e-05,4.943532e-05,3.9519346e-05,1.9529454e-05,3.43715e-05,8.9995796e-05,7.583535e-05,5.5912467e-05,0.00012908856
4,0.000112442314,5.444506e-05,3.2245247e-05,9.812679e-05,6.3759966e-05,4.3097054e-05,4.6708665e-05,3.3108237e-05,0.0001644074,0.00011379872,5.8187004e-05,8.000128e-05,3.9691007e-05,4.455043e-05,2.1267684e-05,3.8199552e-05,9.4202296e-05,7.248781e-05,5.8617283e-05,0.0001320679
5,0.00010620132,5.4083517e-05,3.158942e-05,0.00010770143,7.1005285e-05,3.899843e-05,3.774958e-05,3.9156133e-05,0.0001721119,0.00010495518,6.0689395e-05,8.45441e-05,5.097452e-05,3.4068435e-05,2.1445949e-05,4.2511117e-05,9.31462e-05,7.4940705e-05,5.6395966e-05,0.00012707377
6,9.926518e-05,5.4675256e-05,3.1939606e-05,0.000109426495,6.625836e-05,4.1385196e-05,2.9773808e-05,3.1809202e-05,0.00015375251,0.000105005376,5.5657285e-05,8.4609e-05,5.844051e-05,4.582849e-05,1.6375185e-05,3.980215e-05,9.3633505e-05,7.448144e-05,5.419223e-05,0.00010754921
7,9.319937e-05,5.519598e-05,3.109473e-05,9.792928e-05,7.599192e-05,3.613427e-05,3.149001e-05,2.6198031e-05,0.00016247635,9.586845e-05,5.4052634e-05,7.747113e-05,4.5373275e-05,5.3318843e-05,1.974666e-05,2.9360332e-05,9.3386254e-05,7.2206116e-05,4.9182432e-05,0.000100583435
8,9.834001e-05,5.4884185e-05,2.9264214e-05,9.49547e-05,6.5130844e-05,4.3730393e-05,3.1023315e-05,2.7854927e-05,0.00014495873,9.802348e-05,5.1117386e-05,6.661402e-05,4.9864902e-05,4.040748e-05,2.1234298e-05,3.5056382e-05,9.327333e-05,7.056591e-05,4.9910363e-05,0.000103003935
9,9.9969104e-05,5.7577985e-05,2.990678e-05,9.678961e-05,8.066805e-05,3.926576e-05,3.355574e-05,2.5037427e-05,0.0001502584,8.9142966e-05,4.6832374e-05,6.097234e-05,5.9824448e-05,4.2877997e-05,1.6316055e-05,3.3529595e-05,9.244084e-05,7.272768e-05,4.7479025e-05,9.983942e-05
10,9.647375e-05,5.841167e-05,2.7907616e-05,9.720304e-05,6.586255e-05,4.213927e-05,2.7969445e-05,2.4456487e-05,0.00014996027,8.8300934e-05,3.844112e-05,4.8699785e-05,4.1563457e-05,4.888133e-05,1.765955e-05,2.6042893e-05,8.41163e-05,7.26369e-05,4.5425568e-05,9.192651e-05
11,9.780918e-05,5.8252546e-05,2.71606e-05,0.000103093196,6.7764595e-05,3.5310735e-05,3.0881787e-05,2.2445123e-05,0.00014834838,8.610486e-05,3.8528568e-05,3.8873284e-05,4.8643218e-05,3.2876458e-05,1.9284638e-05,2.7367005e-05,7.363085e-05,6.962267e-05,4.4950324e-05,9.8882025e-05
12,9.6422984e-05,5.1520918e-05,2.7479153e-05,9.817801e-05,7.213117e-05,3.6378908e-05,2.5368332e-05,2.3454415e-05,0.00014521914,8.235819e-05,3.8758466e-05,4.1770632e-05,4.223133e-05,3.710401e-05,1.4576175e-05,2.9856685e-05,6.897393e-05,6.75374e-05,4.705923e-05,0.00010354447
