feature_i,feature_j,mean_abs_shap_product,signed_shap_corr
tauu_eq,slp_eq,0.09289455443078606,0.04869757408075356
tauu_eq,d20_nino4,0.08643516843518965,-0.21308534831273082
slp_eq,d20_nino4,0.0752041200499682,-0.085547661110157
slp_eq,sst_nino34,0.06931022565808757,0.6289351939686347
sst_nino34,olr_eq,0.06918958946371598,0.9340802197411681
tauu_eq,sst_nino34,0.0687741211137517,0.08752530277242056
slp_eq,olr_eq,0.06389095813305783,0.7026546006035644
d20_nino4,sst_nino34,0.059311795412357,0.14681102556417308
sst_nino34,sst_nino3,0.05912117874669662,0.9836360029086764
tauu_eq,olr_eq,0.05756436219117441,-0.08609491347603308
sst_nino34,sst_nino12,0.05398300957171809,0.9019993385979868
tauu_eq,sst_nino3,0.053928086080440016,0.07622164075832703
slp_eq,sst_nino3,0.05391145353352669,0.6227671671871475
tauu_eq,sst_nino12,0.05355265023763792,0.04666338150125381
olr_eq,sst_nino3,0.05254130057328381,0.9206861637810821
slp_eq,sst_nino12,0.05173288072955238,0.5285639034277781
d20_nino4,olr_eq,0.05126062943831713,0.07578015776231077
tauu_eq,d20_nino34,0.04884600069843328,0.10116178695116232
d20_nino4,sst_nino12,0.04868211845134531,0.27647048328482154
olr_eq,sst_nino12,0.0476870600613409,0.8307239785794921
d20_nino4,sst_nino3,0.04735942723788996,0.18631183115879096
d20_nino4,d20_nino34,0.04403159864334594,0.35310545840558805
sst_nino12,sst_nino3,0.04182518524869998,0.9224225525493974
slp_eq,d20_nino34,0.04148086224627956,0.10377333370537835
sst_nino34,d20_nino34,0.03875639816899385,0.5539897245950134
tauu_eq,sst_nino4,0.03651909556509463,0.2584875598954933
olr_eq,d20_nino34,0.033329042660108145,0.44643626446019835
d20_nino4,sst_nino4,0.030854519637237496,0.2761654832074843
sst_nino3,d20_nino34,0.03053289990606217,0.5902069596738465
sst_nino12,d20_nino34,0.02960984990108154,0.5807254893937946
slp_eq,sst_nino4,0.028801890018217733,-0.20865930818036185
sst_nino34,sst_nino4,0.023625100894802558,0.24231511192078822
olr_eq,sst_nino4,0.02014401118831472,0.11576866632897258
sst_nino3,sst_nino4,0.018544459115777703,0.24584950955111565
sst_nino12,sst_nino4,0.018337540123074394,0.22976852652556462
d20_nino34,sst_nino4,0.017434083234671896,0.5078417671263767
