trial_id,fold_id,train_start,train_end,val_start,val_end,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,best_val_loss,val_accuracy,val_f1_macro,val_auc_macro,val_bss
8,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.7488220361905678,0.7009345794392523,0.6874458874458874,0.8240927951885109,0.3055116269842949
8,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,1.005937404721697,0.4953271028037383,0.35936507936507933,0.6713896876168682,0.01853201143951544
9,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",3,0.2,128,1,0.0005,0.0,8,12,1.0,60,0.9835871491476754,0.5327102803738317,0.37186622900908617,0.6800554891065471,-0.038598954680401754
9,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",3,0.2,128,1,0.0005,0.0,8,12,1.0,60,0.7961115614276066,0.616822429906542,0.6162534296150416,0.7816577214611976,0.2376202834377562
9,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",3,0.2,128,1,0.0005,0.0,8,12,1.0,60,1.1836075838481155,0.38317757009345793,0.31858393074744024,0.6302358297737212,-0.19099124806602097
10,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.2,512,2,0.0005,0.0001,8,12,1.0,60,0.9542946069040031,0.514018691588785,0.505472372793551,0.704941294369299,-0.05145339925053616
10,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",3,0.2,512,2,0.0005,0.0001,8,12,1.0,60,0.8503968648821394,0.616822429906542,0.6259568719667784,0.8266578418181266,0.2520521306466498
10,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",3,0.2,512,2,0.0005,0.0001,8,12,1.0,60,1.1410337976206129,0.4766355140186916,0.3150266971777269,0.6280208505250066,-0.07286031806639226
11,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",5,0.4,256,1,0.0005,0.0001,8,12,1.0,60,0.8999327376624134,0.4672897196261682,0.4221937321937322,0.7297030296013475,0.014755128620453584
11,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.4,256,1,0.0005,0.0001,8,12,1.0,60,0.8423662441913212,0.5420560747663551,0.5078067809577068,0.8415912756868883,0.18679749208172514
11,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.4,256,1,0.0005,0.0001,8,12,1.0,60,0.9788756715917142,0.48598130841121495,0.376871844451606,0.6962678416376048,0.028128659772501452
12,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.0,128,1,0.0005,0.0,32,25,1.0,60,0.853394627571106,0.6542056074766355,0.6001478196600148,0.7409394875970857,0.12441682630238371
12,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.0,128,1,0.0005,0.0,32,25,1.0,60,0.7497659921646118,0.6915887850467289,0.6876759800736408,0.8519931780683269,0.3124948458113729
12,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.0,128,1,0.0005,0.0,32,25,1.0,60,1.1458079814910889,0.308411214953271,0.2979229418726617,0.6362664293736904,-0.12184396162964872
13,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.0,512,2,0.0005,0.0001,16,25,0.5,60,0.9913381527517443,0.5046728971962616,0.5134116576599839,0.7447135976000121,-0.04561508206648068
13,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.0,512,2,0.0005,0.0001,16,25,0.5,60,0.7136912602130497,0.5981308411214953,0.5743834202520643,0.855713631229737,0.294829938141828
13,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.0,512,2,0.0005,0.0001,16,25,0.5,60,1.0188846276185224,0.4766355140186916,0.4800095636387214,0.6817927294448212,0.036323415369575396
14,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",3,0.4,128,2,0.0003,0.0001,32,12,0.5,60,0.871317982673645,0.5794392523364486,0.44823385273765765,0.7326799953956744,0.08455804683669388
14,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",3,0.4,128,2,0.0003,0.0001,32,12,0.5,60,0.789286732673645,0.6355140186915887,0.484920634920635,0.7825728659801946,0.2638410412393356
14,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",3,0.4,128,2,0.0003,0.0001,32,12,0.5,60,0.9731074571609497,0.5327102803738317,0.39204259299230165,0.6958431111880149,0.060533468851709626
