rank,trial_id,n_folds,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_val_loss,std_best_val_loss,mean_val_accuracy,std_val_accuracy,mean_val_f1_macro,std_val_f1_macro,mean_val_auc_macro,std_val_auc_macro,mean_val_bss,std_val_bss,mean_selection_score,std_selection_score
1,114,3,"[32, 64, 128]",5,0.4,256,1,0.0005,1e-05,32,12,0.5,60,,,,,0.8588255445162455,0.0861856553582937,0.6137071651090342,0.06489927307165003,0.5187912842674748,0.11379777810147405,0.7375761862603855,0.059017212766318126,0.14610049519011736,0.11696845437926025,0.14610049519011736,0.11696845437926025
2,128,3,"[32, 64, 128]",5,0.0,128,1,0.0005,0.0001,32,12,1.0,60,,,,,0.8638783097267151,0.04487341360713839,0.5794392523364486,0.04765438797750267,0.4872146021398364,0.08655203737130142,0.7324320753711545,0.032041416339070226,0.14376498977185603,0.060035538412442364,0.14376498977185603,0.060035538412442364
3,80,3,"[64, 128, 256]",5,0.2,256,1,0.0003,0.0,32,25,0.5,60,,,,,0.861561914285024,0.08317261326120441,0.6137071651090342,0.054137530208669064,0.5082628382529225,0.10530341271466337,0.7406639186739167,0.056364518058023796,0.14368237656129132,0.10263504541223512,0.14368237656129132,0.10263504541223512
4,73,3,"[128, 256, 512]",3,0.0,128,1,0.0003,1e-05,32,25,1.0,60,,,,,0.8720534642537435,0.08745785205470419,0.5887850467289719,0.053415664172841895,0.46344087388632715,0.018511385752931944,0.7276115595394215,0.05458719463979792,0.1403454519167334,0.10805065670673239,0.1403454519167334,0.10805065670673239
5,1,3,"[64, 128, 256]",5,0.4,128,1,0.0003,1e-05,32,25,1.0,60,,,,,0.8683822949727377,0.06111348646927151,0.5919003115264797,0.030839548089132918,0.45050553150817657,0.032758231212317974,0.7160637171382492,0.048889347592003515,0.14011408754889146,0.0827639014836353,0.14011408754889146,0.0827639014836353
6,98,3,"[128, 256, 512]",3,0.0,256,2,0.0005,1e-05,32,12,0.5,60,,,,,0.8651400208473206,0.08460965084705553,0.5825545171339563,0.061679096178265835,0.4805547790496141,0.11917563122174493,0.7161838810616974,0.06941946865478135,0.13676276058616157,0.10949201923518953,0.13676276058616157,0.10949201923518953
7,14,3,"[32, 64, 128]",3,0.4,128,2,0.0003,0.0001,32,12,0.5,60,,,,,0.8779040575027466,0.07518885987520708,0.5825545171339563,0.04202721982315278,0.4417323602168648,0.03819497979105592,0.737031990854628,0.03554075116383041,0.13631085230924636,0.09070926782215563,0.13631085230924636,0.09070926782215563
8,16,3,"[64, 128, 256, 512]",5,0.0,256,2,0.0005,1e-05,16,25,0.5,60,,,,,0.8700476977684044,0.11980093231697216,0.5700934579439253,0.033261926018789134,0.4977325906570101,0.05744087040557075,0.7537055859061477,0.06724742655054008,0.1354111738600194,0.11842104358266536,0.1354111738600194,0.11842104358266536
9,102,3,"[32, 64, 128]",3,0.2,256,2,0.0003,0.0,16,25,0.5,60,,,,,0.8747171804169627,0.08793589914385493,0.5950155763239874,0.062149337517943944,0.5092618390395462,0.1112189367018962,0.7288785793073546,0.060558681640943045,0.135052178236867,0.11593868494760572,0.135052178236867,0.11593868494760572
10,2,3,"[64, 128, 256]",3,0.4,512,1,0.0005,0.0001,8,25,0.5,60,,,,,0.8813011609133902,0.10187048090447624,0.5856697819314641,0.061679096178265835,0.49159012011397846,0.09222918222900027,0.7283351999756317,0.05429176236804244,0.13450366237787417,0.13832425573142682,0.13450366237787417,0.13832425573142682
11,75,3,"[128, 256, 512]",5,0.4,512,2,0.0003,0.0001,16,25,1.0,60,,,,,0.8747660239166187,0.09295634499561387,0.5794392523364486,0.033261926018789134,0.4592569095914629,0.09382289306146872,0.7467461526679862,0.05611410886883614,0.13314168086857847,0.08536569910138463,0.13314168086857847,0.08536569910138463
12,8,3,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,,,,,0.8766575223560275,0.10497187843739221,0.5919003115264797,0.08440010706631816,0.5195889026535089,0.134047138533796,0.7332773188588586,0.06561084733269333,0.13236280888989635,0.12444087113806417,0.13236280888989635,0.12444087113806417
13,71,3,"[64, 128, 256, 512]",3,0.2,256,2,0.0003,1e-05,16,25,0.5,60,,,,,0.8955360530321471,0.06530884986202896,0.5919003115264797,0.061679096178265835,0.4615106385007357,0.14494686152045413,0.735109697501568,0.06809292675670954,0.1318114632651383,0.11639608116851488,0.1318114632651383,0.11639608116851488
14,117,3,"[32, 64, 128]",5,0.2,256,2,0.0003,0.0001,8,12,0.5,60,,,,,0.8730016774106248,0.11398255861350136,0.5607476635514018,0.06519766210734064,0.48378219171470893,0.10342174019437082,0.7315695057381403,0.0659473800520597,0.12989618023425065,0.13302931741396942,0.12989618023425065,0.13302931741396942
15,20,3,"[32, 64, 128]",3,0.4,512,1,0.0005,1e-05,16,12,0.5,60,,,,,0.8823302625867063,0.09230743612154271,0.5919003115264797,0.05520263285566776,0.4897467699741629,0.10389166872343839,0.7200282291221024,0.062322738761346384,0.12693454169692875,0.10620102070049604,0.12693454169692875,0.10620102070049604
16,105,3,"[64, 128, 256]",5,0.2,256,2,0.0005,1e-05,8,12,0.5,60,,,,,0.8918228180980385,0.09275924770484574,0.6074766355140186,0.02643389836211393,0.4528390934453559,0.024073861175088904,0.7278663467121896,0.03711173520909605,0.12536245572362256,0.09265557232618468,0.12536245572362256,0.09265557232618468
17,67,3,"[64, 128, 256]",5,0.4,512,2,0.0005,1e-05,32,25,1.0,60,,,,,0.8894912004470825,0.10506918351013186,0.5514018691588785,0.08075689343810416,0.4014828441148636,0.08080943998889634,0.7188244728719732,0.0562428254347858,0.12435715500313511,0.12537530993991636,0.12435715500313511,0.12537530993991636
