month,sst_lag0,sst_lag1,sst_lag2,sst_lag3,tauu_lag0,tauu_lag1,tauu_lag2,tauu_lag3,olr_lag0,olr_lag1,olr_lag2,olr_lag3,slp_lag0,slp_lag1,slp_lag2,slp_lag3,d20_lag0,d20_lag1,d20_lag2,d20_lag3
1,7.794828e-05,6.130812e-05,7.1543516e-05,0.00013372087,3.0925934e-05,3.4434797e-05,1.5580634e-05,1.5809914e-05,6.011436e-05,6.0719467e-05,5.364795e-05,5.5481716e-05,2.527637e-05,2.5718908e-05,1.3549482e-05,2.139693e-05,0.000102367325,9.8849545e-05,9.77775e-05,0.000102154314
2,6.9545196e-05,5.6012643e-05,6.7246256e-05,0.00011932633,3.2373868e-05,3.0613548e-05,1.6993765e-05,1.5190081e-05,6.0076374e-05,5.8882193e-05,5.5793695e-05,5.4215983e-05,2.7252352e-05,2.5221956e-05,1.36580575e-05,2.4331806e-05,9.505355e-05,8.9338864e-05,8.851635e-05,9.353453e-05
3,6.312121e-05,5.0236307e-05,6.015937e-05,0.00011065131,2.588674e-05,3.147166e-05,1.4867364e-05,1.7517486e-05,5.1700656e-05,5.641606e-05,5.2577532e-05,5.397155e-05,2.2110547e-05,2.4873303e-05,1.2710524e-05,2.2706485e-05,7.842298e-05,7.9150006e-05,7.718928e-05,8.020256e-05
4,5.8341102e-05,5.1536408e-05,5.9825965e-05,0.00011029239,2.2162858e-05,2.626839e-05,1.723759e-05,1.6471497e-05,4.6136316e-05,5.4295087e-05,5.641395e-05,5.683725e-05,1.8068127e-05,2.3662724e-05,1.4047476e-05,2.380572e-05,7.619991e-05,7.3779476e-05,7.5578086e-05,7.93022e-05
5,5.1746578e-05,4.2581018e-05,5.583853e-05,9.943454e-05,2.1050282e-05,2.0674672e-05,1.3194152e-05,1.7425218e-05,3.8298935e-05,4.600847e-05,5.2003998e-05,6.2296014e-05,2.0110167e-05,1.7640508e-05,1.1334823e-05,2.5139547e-05,6.913794e-05,6.659851e-05,6.5008804e-05,7.240312e-05
6,5.348769e-05,4.4769928e-05,5.4026787e-05,0.00010283607,2.316623e-05,2.2363474e-05,1.1756826e-05,1.4625024e-05,3.5682275e-05,4.0525134e-05,4.677679e-05,6.0292885e-05,1.8670933e-05,2.139679e-05,1.0035339e-05,2.4179462e-05,7.7844255e-05,7.405477e-05,7.0388625e-05,7.46524e-05
7,6.3456e-05,4.9849525e-05,5.7883633e-05,0.00010504621,2.7297756e-05,2.6190593e-05,1.3245763e-05,1.4056599e-05,4.2640775e-05,4.328194e-05,4.4965906e-05,5.8479985e-05,2.0435462e-05,2.4866466e-05,1.2657122e-05,2.0737567e-05,8.895782e-05,8.607074e-05,8.286296e-05,8.522396e-05
8,7.3495874e-05,5.6153473e-05,6.2586216e-05,0.000112268724,2.6575286e-05,2.9718989e-05,1.4782157e-05,1.5909358e-05,4.047306e-05,4.810984e-05,4.575647e-05,5.647169e-05,2.2349044e-05,2.5420712e-05,1.382626e-05,2.7109852e-05,0.00010066845,9.182155e-05,9.06387e-05,9.577852e-05
9,7.88681e-05,6.0405917e-05,6.640172e-05,0.00011584943,3.1352654e-05,2.7425594e-05,1.5147853e-05,1.4949263e-05,4.378473e-05,4.3364e-05,4.686067e-05,5.144325e-05,2.3770524e-05,2.4546569e-05,1.2177745e-05,2.6590977e-05,0.00010399868,9.549928e-05,8.869193e-05,9.511974e-05
10,8.46693e-05,6.464502e-05,7.1575916e-05,0.00012592875,2.801253e-05,3.3726126e-05,1.4754077e-05,1.7132556e-05,5.119331e-05,4.7115816e-05,4.3892273e-05,5.6884855e-05,2.0465144e-05,2.8143266e-05,1.3533099e-05,2.5430845e-05,0.00011860247,0.000103813334,9.763841e-05,9.666939e-05
11,8.689581e-05,6.9773414e-05,7.9285666e-05,0.00014298753,2.9915082e-05,3.194877e-05,1.9673098e-05,1.6982107e-05,5.6999128e-05,5.7611767e-05,4.751997e-05,5.262008e-05,2.569409e-05,2.5458641e-05,1.7198008e-05,2.7894936e-05,0.00012527093,0.00012054459,0.00011008976,0.00011037795
12,8.230365e-05,6.2689156e-05,7.641599e-05,0.00013811601,3.0462428e-05,3.0318035e-05,1.6094818e-05,1.8844268e-05,5.938743e-05,5.7056684e-05,5.4166692e-05,5.2824096e-05,2.564783e-05,2.714846e-05,1.3239032e-05,3.0622097e-05,0.000116198484,0.00011198604,0.00011236338,0.00010919611
