epoch,train_loss,val_loss,lr
1.0,0.7617924761848328,0.682583925348741,0.001
2.0,0.620755763861318,0.6836023556965368,0.001
3.0,0.4671395464827077,0.7628440349190323,0.001
4.0,0.4226275894778986,0.7149933295117484,0.001
5.0,0.39734990375872237,0.6485058919147209,0.001
6.0,0.3882588528025265,0.6140802894477491,0.001
7.0,0.35158540265628707,0.5900496895666476,0.001
8.0,0.35483214839959676,0.6383401486608717,0.001
9.0,0.30696900860189247,0.5657316656024368,0.001
10.0,0.27382754779661805,0.5826979555465557,0.001
11.0,0.27401458326810463,0.6183513877568422,0.001
12.0,0.234489456961711,0.6159249798015312,0.001
13.0,0.22592867582369916,0.5501902246916736,0.001
14.0,0.22212232225619186,0.6713430031582162,0.001
15.0,0.20690386720930046,0.7160012490219541,0.001
16.0,0.17864552130714392,0.6505074313393345,0.001
17.0,0.1969011231257131,0.740854333948206,0.001
18.0,0.1930978799018616,0.6598932985906247,0.001
19.0,0.15376884323625137,0.681876712375217,0.001
20.0,0.17153839600352813,0.7539882704063698,0.001
21.0,0.1580028179259346,0.6988799097361388,0.001
22.0,0.1538856243744445,0.726441052224901,0.001
23.0,0.1511167678208397,0.8047047610636111,0.001
24.0,0.12663069179358954,0.7872270433991043,0.0005
25.0,0.12115347099761231,0.7693008228584572,0.0005
26.0,0.1285018124900306,0.7610071875430919,0.0005
27.0,0.10860553381446832,0.814259182523798,0.0005
28.0,0.11437629027583729,0.7914688653416104,0.0005
29.0,0.1074534297084656,0.806391508490951,0.0005
30.0,0.09517205408967722,0.8109349917482447,0.0005
31.0,0.10624684152987818,0.8330359701757077,0.0005
32.0,0.10731850340724372,0.8912540254769502,0.0005
33.0,0.09152667029216267,0.8413885191634849,0.0005
