lead_months,best_rmse_model,best_rmse,best_corr_model,best_corr
3,xgb,0.4132937576093667,xgb,0.9324154883438815
6,cnn,0.6407279241107262,cnn,0.7941946573842479
12,lstm,0.8563101770929434,lstm,0.3595138214342678
