trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_rmse,val_mae,val_corr,val_r2
1,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.7495019435882568,256,1,0.0,0.0005,0.0,16,6,60,0.2972748749531232,24,44,0.5452291965484619,0.464915007352829,0.914352594034599,0.7495019435882568
1,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,-0.09743952751159668,256,1,0.0,0.0005,0.0,16,6,60,0.501019143141233,1,21,0.7078269720077515,0.5610883831977844,0.3063347223014013,-0.09743952751159668
1,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.04194462299346924,256,1,0.0,0.0005,0.0,16,6,60,0.9303064346313477,3,23,0.96452397108078,0.6332476735115051,0.3230836798835634,0.04194462299346924
2,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.5909647941589355,32,2,0.0,0.001,0.0001,64,6,60,0.48541656136512756,35,55,0.6967184543609619,0.565854012966156,0.8661573019669091,0.5909647941589355
2,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.08208876848220825,32,2,0.0,0.001,0.0001,64,6,60,0.4190581738948822,10,30,0.6473470330238342,0.5381457805633545,0.37127223020463296,0.08208876848220825
2,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.060671865940093994,32,2,0.0,0.001,0.0001,64,6,60,0.9121216535568237,6,26,0.9550505876541138,0.6883638501167297,0.3209234858967566,0.060671865940093994
3,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.31587666273117065,32,1,0.0,0.0001,0.0001,32,6,60,0.8118734955787659,60,60,0.9010401964187622,0.7453817129135132,0.8806960205345836,0.31587666273117065
3,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.06282812356948853,32,1,0.0,0.0001,0.0001,32,6,60,0.4278514087200165,30,50,0.6541034579277039,0.5328769087791443,0.3884753967342645,0.06282812356948853
3,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.017804861068725586,32,1,0.0,0.0001,0.0001,32,6,60,0.953747034072876,29,49,0.9765997529029846,0.7219741940498352,0.26749854083518476,0.017804861068725586
4,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.5929052829742432,256,2,0.0,0.001,1e-05,32,9,60,0.4953666031360626,4,24,0.7038228511810303,0.5551835298538208,0.7997979088165046,0.5929052829742432
4,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,-0.23353517055511475,256,2,0.0,0.001,1e-05,32,9,60,0.5307420492172241,2,22,0.7285205125808716,0.6136760115623474,0.07264237678276857,-0.23353517055511475
4,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.04207038879394531,256,2,0.0,0.001,1e-05,32,9,60,0.9412074685096741,1,21,0.9701584577560425,0.6867920756340027,0.30561927085413665,0.04207038879394531
5,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.594452977180481,64,1,0.3,0.0005,0.0001,16,9,60,0.4934831467958597,8,28,0.702483594417572,0.548441469669342,0.8620813143832977,0.594452977180481
5,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,-0.020938396453857422,64,1,0.3,0.0005,0.0001,16,9,60,0.43927007684340846,4,24,0.6627745032310486,0.5502629280090332,0.2791625613876547,-0.020938396453857422
5,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.04244589805603027,64,1,0.3,0.0005,0.0001,16,9,60,0.940838526456784,5,25,0.9699682593345642,0.6616801023483276,0.2652805547843467,0.04244589805603027
6,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.584406852722168,64,1,0.1,0.0005,0.0,32,9,60,0.5057076811790466,20,40,0.7111312747001648,0.5575832724571228,0.8183482321843015,0.584406852722168
6,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,-0.042740464210510254,64,1,0.1,0.0005,0.0,32,9,60,0.44865065813064575,6,26,0.669813871383667,0.5603757500648499,0.25692849190121164,-0.042740464210510254
6,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.07467764616012573,64,1,0.1,0.0005,0.0,32,9,60,0.9091693162918091,7,27,0.9535037279129028,0.6408314108848572,0.31629138855492306,0.07467764616012573
7,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.6338421702384949,64,1,0.0,0.0005,0.0001,32,12,60,0.4537471532821655,15,35,0.673607587814331,0.5122555494308472,0.8690879829625279,0.6338421702384949
7,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,-0.15897810459136963,64,1,0.0,0.0005,0.0001,32,12,60,0.4969368577003479,3,23,0.7049374580383301,0.5555139780044556,0.33369559180168473,-0.15897810459136963
7,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.04003673791885376,64,1,0.0,0.0005,0.0001,32,12,60,0.9432055354118347,5,25,0.9711877107620239,0.7346428036689758,0.27445426068137985,0.04003673791885376
8,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.5170605182647705,32,2,0.1,0.0005,0.0,32,9,60,0.5876569151878357,24,44,0.7665878534317017,0.5795212984085083,0.811038333395576,0.5170605182647705
8,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,0.0007843971252441406,32,2,0.1,0.0005,0.0,32,9,60,0.42992356419563293,3,23,0.655685544013977,0.5325556993484497,0.30581689246292815,0.0007843971252441406
8,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.0416717529296875,32,2,0.1,0.0005,0.0,32,9,60,0.9415990114212036,16,36,0.9703602194786072,0.622521162033081,0.3011871956765905,0.0416717529296875
9,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.6537142992019653,256,1,0.5,0.0001,0.0001,16,9,60,0.42137213089527226,15,35,0.6491317749023438,0.5085949897766113,0.8859075407915139,0.6537142992019653
9,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,-0.00621950626373291,256,1,0.5,0.0001,0.0001,16,9,60,0.4329370145614331,1,21,0.6579795479774475,0.5330921411514282,0.28404173336617405,-0.00621950626373291
9,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.04470449686050415,256,1,0.5,0.0001,0.0001,16,9,60,0.9386191368103027,7,27,0.9688236713409424,0.677505373954773,0.2973550935606176,0.04470449686050415
10,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.3792691230773926,32,1,0.5,0.0001,1e-05,32,12,60,0.7692170143127441,60,60,0.8770502209663391,0.7328749299049377,0.8590555872227988,0.3792691230773926
10,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,-0.032393455505371094,32,1,0.5,0.0001,1e-05,32,12,60,0.44266098737716675,1,21,0.6653277277946472,0.533542811870575,0.12198432431345503,-0.032393455505371094
10,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.015851259231567383,32,1,0.5,0.0001,1e-05,32,12,60,0.9669689536094666,52,60,0.9833457469940186,0.7064640522003174,0.21020834878234793,0.015851259231567383
11,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.6245287656784058,256,1,0.1,0.0003,1e-05,64,12,60,0.4652884900569916,12,32,0.6821205615997314,0.5161600112915039,0.8324167901042592,0.6245287656784058
11,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,-0.002948760986328125,256,1,0.1,0.0003,1e-05,64,12,60,0.43003591895103455,4,24,0.6557712554931641,0.5411025881767273,0.2618277846595611,-0.002948760986328125
11,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.1122313141822815,256,1,0.1,0.0003,1e-05,64,12,60,0.8722712397575378,7,27,0.9339545965194702,0.6355176568031311,0.40088767098147443,0.1122313141822815
12,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.7409093379974365,256,2,0.0,0.001,1e-05,16,6,60,0.307472037199216,19,39,0.5545015931129456,0.44012993574142456,0.9033734302558671,0.7409093379974365
12,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.06922990083694458,256,2,0.0,0.001,1e-05,16,6,60,0.42492877902128756,3,23,0.6518656015396118,0.5634336471557617,0.39874760588196,0.06922990083694458
12,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.015166938304901123,256,2,0.0,0.001,1e-05,16,6,60,0.9563083829759043,3,23,0.9779103398323059,0.6897355318069458,0.2059116900807514,0.015166938304901123
13,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.6076464056968689,128,2,0.0,0.0003,0.0001,16,9,60,0.4774290124575297,13,33,0.6909623742103577,0.5362271666526794,0.8330089787800661,0.6076464056968689
13,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,-0.011272430419921875,128,2,0.0,0.0003,0.0001,16,9,60,0.43511114899928754,1,21,0.6596295833587646,0.5359165072441101,0.1841435951818571,-0.011272430419921875
13,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.044894516468048096,128,2,0.0,0.0003,0.0001,16,9,60,0.938432711821336,4,24,0.9687272906303406,0.6500862836837769,0.3166265364870491,0.044894516468048096
14,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.5687459707260132,32,1,0.5,0.0005,0.0,32,12,60,0.534415066242218,27,47,0.7310370802879333,0.5693022608757019,0.9199174908945476,0.5687459707260132
14,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.005041003227233887,32,1,0.5,0.0005,0.0,32,12,60,0.42661014199256897,6,26,0.6531540155410767,0.5354695320129395,0.14127883978748762,0.005041003227233887
14,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.07395821809768677,32,1,0.5,0.0005,0.0,32,12,60,0.9098762273788452,10,30,0.9538743495941162,0.6672836542129517,0.40618509354081234,0.07395821809768677
15,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.6171855926513672,128,2,0.3,0.0005,1e-05,64,6,60,0.4542994499206543,24,44,0.6740173697471619,0.5343207120895386,0.8496773913353006,0.6171855926513672
15,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,-0.04222512245178223,128,2,0.3,0.0005,1e-05,64,6,60,0.47581177949905396,3,23,0.6897910833358765,0.5557734370231628,0.267499642064928,-0.04222512245178223
15,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.05110514163970947,128,2,0.3,0.0005,1e-05,64,6,60,0.9214112758636475,5,25,0.9599016904830933,0.6813152432441711,0.2799536492685576,0.05110514163970947
16,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.7475064396858215,128,1,0.0,0.001,0.0,16,6,60,0.299643038939207,27,47,0.5473966002464294,0.44908592104911804,0.892585931749628,0.7475064396858215
16,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,-0.030156373977661133,128,1,0.0,0.001,0.0,16,6,60,0.470302015542984,1,21,0.6857856512069702,0.5565596222877502,0.3006823123177366,-0.030156373977661133
