rank,trial_id,selection_metric,mean_selection_score,std_selection_score,n_folds,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs
61,88,val_r2,0.22189046939214072,0.25531824022955063,3,64,2,0.3,0.001,0.0,32,9,60
62,104,val_r2,0.22143002351125082,0.30770011603255426,3,128,1,0.1,0.0003,0.0,32,6,60
63,46,val_r2,0.2210694948832194,0.34239667878391805,3,64,1,0.0,0.001,1e-05,64,12,60
64,114,val_r2,0.22052941719690958,0.3292944971145886,3,256,2,0.1,0.001,1e-05,64,6,60
65,209,val_r2,0.2204467256863912,0.19789753199092652,3,32,1,0.0,0.0003,0.0001,64,9,60
66,73,val_r2,0.21915018558502197,0.3228848528901304,3,256,1,0.3,0.0003,0.0001,32,12,60
67,175,val_r2,0.21850399176279703,0.2961513114176274,3,256,1,0.1,0.0001,1e-05,16,12,60
68,87,val_r2,0.21812154849370322,0.30243874765048284,3,32,2,0.3,0.001,0.0001,16,6,60
69,172,val_r2,0.21800353129704794,0.2904387646701794,3,256,1,0.1,0.0001,0.0,32,12,60
70,180,val_r2,0.21746190388997397,0.2887412331882669,3,256,1,0.0,0.0005,0.0,64,6,60
71,95,val_r2,0.21713932355244955,0.30543121695200925,3,256,1,0.0,0.0003,0.0,64,12,60
72,20,val_r2,0.21692285935084024,0.26693959711920207,3,64,1,0.0,0.0005,0.0,32,9,60
73,66,val_r2,0.21685298283894858,0.2891932769328755,3,64,1,0.5,0.001,1e-05,32,6,60
74,251,val_r2,0.2163113753000895,0.2963396748791115,3,64,1,0.1,0.0005,1e-05,64,9,60
75,139,val_r2,0.21614988644917807,0.2905664638662056,3,128,2,0.1,0.0005,0.0,32,9,60
76,111,val_r2,0.21595638990402222,0.2882456363022986,3,256,1,0.1,0.0001,0.0001,32,12,60
77,14,val_r2,0.21591506401697794,0.2510705507398468,3,32,1,0.5,0.0005,0.0,32,12,60
78,133,val_r2,0.21588629484176636,0.2942006627729049,3,256,1,0.0,0.0005,1e-05,32,12,60
79,178,val_r2,0.21573388576507568,0.29211266552555554,3,64,1,0.3,0.001,1e-05,32,6,60
80,17,val_r2,0.21552938222885132,0.3040616039424362,3,32,1,0.1,0.001,0.0001,32,9,60
81,204,val_r2,0.21535221735636392,0.3147166329133484,3,128,2,0.0,0.001,1e-05,32,6,60
82,148,val_r2,0.21506001551946005,0.28906652923797005,3,64,1,0.0,0.0005,0.0,64,9,60
83,132,val_r2,0.21484424670537314,0.3011199749251508,3,64,2,0.5,0.001,0.0,16,6,60
84,207,val_r2,0.2147284746170044,0.26401818906320085,3,64,2,0.0,0.0005,0.0,32,9,60
85,229,val_r2,0.21452152729034424,0.2843471888381203,3,128,1,0.3,0.001,0.0,16,12,60
86,34,val_r2,0.2145126461982727,0.2627070124353612,3,128,2,0.3,0.0005,1e-05,16,9,60
87,29,val_r2,0.2144921620686849,0.31424475477053265,3,256,1,0.3,0.0003,1e-05,16,9,60
88,245,val_r2,0.21445427338282266,0.3184446633751682,3,256,1,0.1,0.0005,0.0001,64,6,60
89,93,val_r2,0.214077095190684,0.3052795257010152,3,256,1,0.3,0.0003,1e-05,32,6,60
90,13,val_r2,0.21375616391499838,0.2794647543774996,3,128,2,0.0,0.0003,0.0001,16,9,60
91,101,val_r2,0.21347751220067343,0.28672252629070033,3,256,1,0.5,0.0003,1e-05,64,9,60
92,193,val_r2,0.2132507562637329,0.2892248689881983,3,32,2,0.0,0.001,0.0,32,6,60
93,44,val_r2,0.21273809671401978,0.3116380074016042,3,64,1,0.3,0.0003,0.0,32,9,60
94,215,val_r2,0.21265828609466553,0.26203523030979825,3,64,1,0.1,0.001,0.0,64,12,60
95,107,val_r2,0.21233163277308145,0.3130423662272916,3,256,1,0.0,0.0005,0.0,16,12,60
96,35,val_r2,0.21220443646113077,0.32149215965847505,3,64,1,0.3,0.0003,0.0,32,12,60
97,89,val_r2,0.21195427576700845,0.2735076767832195,3,64,2,0.1,0.0005,0.0001,64,6,60
98,136,val_r2,0.21195046106974283,0.2639720843451492,3,64,1,0.3,0.001,0.0,32,9,60
99,176,val_r2,0.21172626813252768,0.29563771114039283,3,128,2,0.0,0.0005,1e-05,32,6,60
100,78,val_r2,0.21148685614267984,0.288815626084027,3,256,2,0.1,0.0005,0.0,64,9,60
101,230,val_r2,0.21138505140940347,0.25684742156115614,3,128,2,0.0,0.0001,1e-05,16,9,60
102,164,val_r2,0.21128801504770914,0.23872114435273656,3,64,2,0.3,0.0003,1e-05,16,9,60
103,187,val_r2,0.2112769881884257,0.30513932648962855,3,256,1,0.5,0.0005,0.0,32,9,60
104,145,val_r2,0.21119930346806845,0.2660933615753871,3,128,2,0.3,0.001,1e-05,32,12,60
105,120,val_r2,0.2109355926513672,0.2932831378538687,3,256,2,0.3,0.0003,0.0,32,6,60
106,94,val_r2,0.20995881160100302,0.29548698303500137,3,256,1,0.1,0.0001,0.0001,16,6,60
107,203,val_r2,0.20977590481440225,0.2787957893306848,3,256,2,0.1,0.0003,0.0,32,6,60
108,119,val_r2,0.20966355005900064,0.265649341082572,3,32,1,0.1,0.001,0.0001,32,12,60
109,168,val_r2,0.20899840195973715,0.2630767193949275,3,128,2,0.0,0.001,0.0,64,9,60
110,15,val_r2,0.2086885372797648,0.2913531851370994,3,128,2,0.3,0.0005,1e-05,64,6,60
111,59,val_r2,0.20823868115743002,0.30299774164649207,3,256,1,0.5,0.0003,0.0001,16,6,60
112,165,val_r2,0.20804707209269205,0.2835658731450539,3,64,2,0.3,0.0005,0.0001,64,6,60
113,22,val_r2,0.20799285173416138,0.3027914787497391,3,128,1,0.5,0.001,1e-05,64,12,60
114,28,val_r2,0.20777144034703574,0.2962297376032143,3,256,1,0.0,0.0003,1e-05,64,6,60
115,158,val_r2,0.20759950081507364,0.23284140430334316,3,32,2,0.3,0.001,0.0,64,9,60
116,197,val_r2,0.20753641923268637,0.3321757794846518,3,256,1,0.0,0.001,0.0001,64,9,60
117,219,val_r2,0.20742972691853842,0.28382176939239634,3,256,1,0.5,0.0001,0.0,16,6,60
118,256,val_r2,0.20709498723347983,0.29603413397027106,3,128,2,0.3,0.0005,0.0,64,6,60
119,67,val_r2,0.20669945081075033,0.2845471805740397,3,256,2,0.5,0.0005,0.0001,32,9,60
