rank,trial_id,n_folds,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_val_loss,std_best_val_loss,mean_val_rmse,std_val_rmse,mean_val_mae,std_val_mae,mean_val_corr,std_val_corr,mean_val_r2,std_val_r2,mean_selection_score,std_selection_score
1,100,3,"[64, 128, 256, 512]",5,0.4,256,2,0.001,1e-05,16,12,1.0,60,,,,,0.48491753131801096,0.1042633200368868,0.6919975479443868,0.07782619612647544,0.529269258181254,0.06010643261209295,0.621329955604895,0.08375686003377991,0.3246803283691406,0.11314507965092781,0.3246803283691406,0.11314507965092781
2,110,3,"[32, 64, 128]",5,0.4,512,2,0.001,0.0001,32,25,1.0,60,,,,,0.5078182617823283,0.17945439227856522,0.7009874184926351,0.1281988211500341,0.546275128920873,0.0821986188490578,0.5560194257625667,0.1252392347604092,0.31161518891652423,0.15315595318235578,0.31161518891652423,0.15315595318235578
3,72,3,"[32, 64, 128]",3,0.2,256,2,0.001,1e-05,8,25,0.5,60,,,,,0.5113811806262096,0.18042856646398747,0.70362522204717,0.12761200567337638,0.5671470761299133,0.09338145122199605,0.5817432075576656,0.1071126652107361,0.3072061936060588,0.14942141525374786,0.3072061936060588,0.14942141525374786
4,124,3,"[128, 256, 512]",5,0.4,128,2,0.0005,0.0,32,25,1.0,60,,,,,0.5161630113919576,0.16721578316454297,0.708410898844401,0.11965365709886887,0.5583356221516927,0.07430024178248018,0.5597939194508789,0.12406766134073934,0.29602883259455365,0.14740181925565557,0.29602883259455365,0.14740181925565557
5,57,3,"[64, 128, 256]",5,0.4,512,2,0.0005,0.0,8,12,1.0,60,,,,,0.5209899089325255,0.16241682281850986,0.7128590941429138,0.11323111075659581,0.5795320471127828,0.0834294812650516,0.5672307736417673,0.08511045013103699,0.2897740999857585,0.12479193668777924,0.2897740999857585,0.12479193668777924
6,30,3,"[64, 128, 256, 512]",3,0.0,128,1,0.0003,0.0,32,12,0.5,60,,,,,0.5177173515160879,0.12684610867734916,0.7143434683481852,0.08620260551934286,0.5607284208138784,0.06160287035365604,0.5575660455755068,0.06349189426796344,0.288447101910909,0.05767247761584124,0.288447101910909,0.05767247761584124
7,68,3,"[64, 128, 256, 512]",3,0.0,128,2,0.0005,0.0,16,12,0.5,60,,,,,0.5327289000478489,0.22494266006780408,0.7137983838717142,0.15238364822749306,0.5770612359046936,0.13082571137210983,0.59390488628529,0.11312474733278359,0.2879195213317871,0.18555153286134965,0.2879195213317871,0.18555153286134965
8,33,3,"[64, 128, 256, 512]",5,0.4,512,1,0.0005,0.0001,8,12,1.0,60,,,,,0.5129912116817225,0.12051692714252307,0.7108057538668314,0.08800614582742791,0.5800019105275472,0.07507102405452068,0.57414625661845,0.08424362641200349,0.2869259715080261,0.1333108946918845,0.2869259715080261,0.1333108946918845
9,26,3,"[64, 128, 256]",3,0.2,512,1,0.0003,0.0,16,25,1.0,60,,,,,0.531430471909009,0.21759129755784973,0.7129529714584351,0.15208063318247367,0.5668802360693613,0.10444643595583386,0.5475518221559199,0.1637987365282734,0.28631043434143066,0.19390427146362962,0.28631043434143066,0.19390427146362962
10,27,3,"[64, 128, 256]",5,0.4,256,1,0.001,0.0001,16,12,1.0,60,,,,,0.5215353170102258,0.1485599118971088,0.7147487004597982,0.10329371915107298,0.5400316913922628,0.05116608714876964,0.5808479204260389,0.11157947484723867,0.28609365224838257,0.10801240932543325,0.28609365224838257,0.10801240932543325
