epoch,train_loss,val_loss,lr
1.0,1.108247080566741,1.1207289695739746,0.0003
2.0,1.088276005463914,1.1081960201263428,0.0003
3.0,1.0660455529592627,1.0941441059112549,0.0003
4.0,1.0383196467516191,1.0784120559692383,0.0003
5.0,1.0073322347339044,1.0633810758590698,0.0003
6.0,0.963275372047783,1.0577077865600586,0.0003
7.0,0.9195564062244093,1.0636013746261597,0.0003
8.0,0.8789737093784966,1.0619566440582275,0.0003
9.0,0.8409258431775443,1.0687909126281738,0.0003
10.0,0.812113641384627,1.0968660116195679,0.0003
11.0,0.7876307771871083,1.1468266248703003,0.0003
12.0,0.7818005776330595,1.1439175605773926,0.0003
13.0,0.766587806906446,1.1618443727493286,0.0003
14.0,0.7562907908030064,1.1723870038986206,0.0003
15.0,0.7491518791566448,1.1440505981445312,0.0003
16.0,0.7395260154640413,1.1603480577468872,0.0003
17.0,0.7206934724108178,1.1745531558990479,0.00015
18.0,0.7019788482719828,1.1795392036437988,0.00015
19.0,0.717939581243222,1.1881645917892456,0.00015
20.0,0.7120698811865899,1.19186270236969,0.00015
21.0,0.7162366259060683,1.1866141557693481,0.00015
22.0,0.713731559092722,1.2016812562942505,0.00015
23.0,0.706033779349073,1.1953877210617065,0.00015
24.0,0.7000755903115466,1.2064509391784668,0.00015
25.0,0.7088951660921581,1.2080663442611694,0.00015
26.0,0.6937346848948248,1.2096259593963623,0.00015
