trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_accuracy,val_f1_macro,val_auc_macro,val_bss
9,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,393,0.6074766355140186,0.5989776027370013,0.803277587182223,0.09488555513570662
9,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,488,0.719626168224299,0.7198228663446056,0.87323884654311,0.3978812147847256
9,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,1162,0.7476635514018691,0.7406909430438843,0.8822026829379771,0.393390267475598
10,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,487,0.6355140186915887,0.621250541159008,0.8077509181751358,0.11623741328130688
10,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,506,0.7383177570093458,0.7431608691649756,0.8725918609639539,0.4063979195235865
10,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,1597,0.7476635514018691,0.7402230640047596,0.8847719274189861,0.4167504473086352
11,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,2,0.01,1.0,0.8,3.0,1.0,3.0,0.1,0.0,50,554,0.5794392523364486,0.5837735497687699,0.8040388144942145,0.07989391458526496
11,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,2,0.01,1.0,0.8,3.0,1.0,3.0,0.1,0.0,50,410,0.7102803738317757,0.7143335966865378,0.8708833591343281,0.39879632083278616
11,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,2,0.01,1.0,0.8,3.0,1.0,3.0,0.1,0.0,50,1199,0.7102803738317757,0.6968291167758466,0.8695096570096569,0.36904667452694195
12,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,2,0.03,0.6,1.0,1.0,1.0,10.0,0.5,0.0,50,450,0.6542056074766355,0.6359634997316156,0.8197036386176292,0.1606395118754762
12,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,2,0.03,0.6,1.0,1.0,1.0,10.0,0.5,0.0,50,252,0.7102803738317757,0.7129967776584318,0.8712006753431171,0.4004792918203024
12,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,2,0.03,0.6,1.0,1.0,1.0,10.0,0.5,0.0,50,499,0.719626168224299,0.7033919750833394,0.870866714984362,0.36735130747574885
13,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,2,0.1,0.8,1.0,10.0,0.0,3.0,0.5,1.0,50,113,0.6355140186915887,0.6283494988792936,0.8184419168475424,0.1362921463278629
13,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,2,0.1,0.8,1.0,10.0,0.0,3.0,0.5,1.0,50,39,0.7289719626168224,0.7309188632718046,0.8747756754539701,0.4016888455467187
13,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,2,0.1,0.8,1.0,10.0,0.0,3.0,0.5,1.0,50,120,0.7757009345794392,0.7591591591591591,0.8776907732790086,0.3824624553482694
14,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,2,0.05,0.8,0.8,1.0,0.0,3.0,0.0,0.0,50,105,0.5607476635514018,0.5566960890212647,0.8042057906425354,0.07369375910975429
14,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,2,0.05,0.8,0.8,1.0,0.0,3.0,0.0,0.0,50,93,0.7476635514018691,0.7503224475055461,0.8707604441373821,0.4036074215002089
14,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,2,0.05,0.8,0.8,1.0,0.0,3.0,0.0,0.0,50,308,0.719626168224299,0.7017130089374378,0.8847552774023363,0.40254994795251053
15,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.01,0.8,0.6,5.0,0.1,5.0,0.0,1.0,100,541,0.6261682242990654,0.6118012422360248,0.8145903443732418,0.12040964629600392
15,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,4,0.01,0.8,0.6,5.0,0.1,5.0,0.0,1.0,100,481,0.719626168224299,0.7211536697387975,0.8688713076309975,0.39777742817675354
15,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,4,0.01,0.8,0.6,5.0,0.1,5.0,0.0,1.0,100,1099,0.719626168224299,0.7180876399142653,0.8794432691491515,0.3850699318048263
16,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,5,0.1,0.8,0.8,10.0,1.0,10.0,0.1,1.0,100,140,0.6448598130841121,0.6303030303030303,0.8123873947545981,0.14129657367613246
16,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,5,0.1,0.8,0.8,10.0,1.0,10.0,0.1,1.0,100,78,0.7009345794392523,0.7033172302737521,0.8717550537802475,0.3964736986851026
16,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,5,0.1,0.8,0.8,10.0,1.0,10.0,0.1,1.0,100,115,0.7383177570093458,0.7259546925566344,0.868299674182027,0.3558155333832451
17,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,3,0.03,0.8,0.6,5.0,0.0,1.0,0.5,1.0,50,140,0.5981308411214953,0.5885307688180695,0.8170001012875135,0.1030564672563925
17,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,3,0.03,0.8,0.6,5.0,0.0,1.0,0.5,1.0,50,124,0.7102803738317757,0.7137838433277958,0.872523170318713,0.40060820659580276
17,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,3,0.03,0.8,0.6,5.0,0.0,1.0,0.5,1.0,50,310,0.719626168224299,0.7062507262393042,0.8791112482288952,0.3885042088422127
18,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,3,0.1,0.6,1.0,5.0,0.0,1.0,0.5,1.0,50,55,0.6448598130841121,0.6348484848484849,0.8372979958510377,0.16821676740731895
18,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,3,0.1,0.6,1.0,5.0,0.0,1.0,0.5,1.0,50,31,0.7102803738317757,0.7127739984882843,0.8701396683228079,0.39505124356802535
18,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,3,0.1,0.6,1.0,5.0,0.0,1.0,0.5,1.0,50,115,0.7289719626168224,0.715824059353471,0.8814874667815845,0.3769532383687134
19,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,5,0.1,0.6,0.8,3.0,0.1,10.0,0.0,1.0,100,63,0.6261682242990654,0.6148989898989898,0.8125168567433502,0.13463682054960868
19,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,5,0.1,0.6,0.8,3.0,0.1,10.0,0.0,1.0,100,78,0.7289719626168224,0.7370086668824397,0.8752578713819025,0.39285898863407775
19,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,5,0.1,0.6,0.8,3.0,0.1,10.0,0.0,1.0,100,206,0.7289719626168224,0.7180642180642179,0.8725433063668357,0.3581260802961449
20,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.05,1.0,1.0,10.0,0.01,1.0,0.5,0.0,100,99,0.5887850467289719,0.5857494272121295,0.8082523959781301,0.1049852613700839
20,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.05,1.0,1.0,10.0,0.01,1.0,0.5,0.0,100,88,0.719626168224299,0.7238969404186796,0.8742736403346868,0.40772927388458924
20,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.05,1.0,1.0,10.0,0.01,1.0,0.5,0.0,100,214,0.719626168224299,0.7087779200455256,0.874651002592179,0.3882994255852473
21,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,2,0.05,1.0,1.0,1.0,0.0,1.0,0.1,0.0,50,66,0.5794392523364486,0.5756463504942207,0.8016702128056398,0.08884288151422182
21,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,2,0.05,1.0,1.0,1.0,0.0,1.0,0.1,0.0,50,73,0.7289719626168224,0.7337461300309598,0.8752979619985434,0.4023223270747389
21,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,2,0.05,1.0,1.0,1.0,0.0,1.0,0.1,0.0,50,287,0.7383177570093458,0.7401568234901568,0.8757351308821897,0.39013646462574103
22,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.1,0.8,0.8,10.0,1.0,3.0,0.1,1.0,100,139,0.6635514018691588,0.6527011974380396,0.8170450195260616,0.148385219927768
22,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.1,0.8,0.8,10.0,1.0,3.0,0.1,1.0,100,39,0.7102803738317757,0.7117996870109545,0.8805879315084741,0.4124923569575575
22,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.1,0.8,0.8,10.0,1.0,3.0,0.1,1.0,100,139,0.7289719626168224,0.7053502053502053,0.8733145939028292,0.36447638042149366
23,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.05,1.0,0.8,1.0,0.1,1.0,0.0,0.0,100,32,0.5607476635514018,0.5615721723496435,0.7784199061813646,0.03897281783346562
23,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.05,1.0,0.8,1.0,0.1,1.0,0.0,0.0,100,55,0.7102803738317757,0.7119952844090776,0.8663747703960882,0.38203923176435384
23,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.05,1.0,0.8,1.0,0.1,1.0,0.0,0.0,100,152,0.719626168224299,0.7264957264957266,0.8690978139507551,0.34708805432803036
24,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,2,0.03,1.0,0.6,3.0,0.01,3.0,0.1,0.0,100,145,0.5981308411214953,0.5904161213309043,0.7989734656364416,0.08433975953712147
24,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,2,0.03,1.0,0.6,3.0,0.01,3.0,0.1,0.0,100,142,0.7383177570093458,0.7428358253499269,0.8717853616351677,0.3967991340970862
24,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,2,0.03,1.0,0.6,3.0,0.01,3.0,0.1,0.0,100,682,0.7383177570093458,0.7323616089207489,0.8844184410360881,0.4175322677885013
25,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.01,1.0,0.6,5.0,0.1,3.0,0.0,1.0,100,485,0.5700934579439252,0.5701860231271997,0.804170519346226,0.0554670695684224
25,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,4,0.01,1.0,0.6,5.0,0.1,3.0,0.0,1.0,100,388,0.7102803738317757,0.7128378778371083,0.8654215227131893,0.38939869743130406
25,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,4,0.01,1.0,0.6,5.0,0.1,3.0,0.0,1.0,100,661,0.7383177570093458,0.747909281494187,0.8791306732483203,0.3962570149460176
26,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,2,0.01,1.0,0.6,3.0,0.1,3.0,0.5,0.0,50,536,0.5981308411214953,0.5894428604114965,0.8010458736791675,0.08445638505957132
26,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,2,0.01,1.0,0.6,3.0,0.1,3.0,0.5,0.0,50,479,0.7289719626168224,0.7331490273617409,0.8716083123544364,0.3984319934835536
26,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,2,0.01,1.0,0.6,3.0,0.1,3.0,0.5,0.0,50,799,0.7009345794392523,0.6987131744455478,0.8649162112397407,0.35577991871109915
