trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_accuracy,val_f1_macro,val_auc_macro,val_bss
1,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,128,1,0.2,0.0003,0.0,32,6,60,0.6542016863822937,19,39,0.6538461538461539,0.6157678145982239,0.8745479113115137,0.34712512186432465
1,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,128,1,0.2,0.0003,0.0,32,6,60,1.030892252922058,10,30,0.41025641025641024,0.19571865443425077,0.4994054020747911,-0.03246490022963999
1,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,128,1,0.2,0.0003,0.0,32,6,60,1.0129168033599854,7,27,0.4430379746835443,0.3309085722436172,0.6229252427155721,-0.0014494213785545274
2,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,32,1,0.4,0.001,0.0001,32,6,60,0.7515802383422852,24,44,0.6410256410256411,0.5830832577290809,0.8636487768101277,0.2814976813797898
2,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,32,1,0.4,0.001,0.0001,32,6,60,0.9952055215835571,12,32,0.5,0.22413793103448276,0.5538532634267661,0.003478444755916077
2,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,32,1,0.4,0.001,0.0001,32,6,60,1.0280765295028687,6,26,0.4936708860759494,0.35772681954137586,0.6092249942485287,-0.013624647352089125
3,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,32,1,0.0,0.0003,0.0,16,6,60,0.7120334123953794,38,58,0.5897435897435898,0.5358024691358024,0.8557546092161475,0.2514326908954492
3,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,32,1,0.0,0.0003,0.0,16,6,60,1.0703669511354887,11,31,0.28205128205128205,0.24176645707343777,0.4916817906836055,-0.05268623700513042
3,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,32,1,0.0,0.0003,0.0,16,6,60,1.019939197769648,11,31,0.5063291139240507,0.3682539682539683,0.6030941261150932,-0.007166152223247568
4,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,128,2,0.0,0.0003,0.0001,16,9,60,0.5954580429272774,10,30,0.7435897435897436,0.6675084175084175,0.901344246031746,0.4380791874424367
