lead_months,month,rmse,mae,corr,r2,bias,persistence_rmse,persistence_corr,rmse_skill_vs_persistence
3,1,0.3900315448952335,0.31358325,0.839777669028651,0.6461629244294955,-0.07173183222222221,0.6944622219946724,0.8154138549122699,0.43836895292163836
3,2,0.42427562267337093,0.33930998111111116,0.8410564324604636,0.4789298229035034,-0.07696715022222222,0.8334733215753085,0.5216927878729921,0.49095476520896
3,3,0.3758580727189039,0.30120012955555553,0.8185557809382825,0.5677618833596938,-0.07942774377777778,0.8200000000000001,0.3423515431259815,0.5416364966842635
3,4,0.40578135690293027,0.3402515244444444,0.8129397954964528,0.640351757655277,-0.03047345111111109,0.7051950084905594,0.4474582735549176,0.4245827721164839
3,5,0.5036021275959356,0.3792962516666667,0.8372515487600733,0.6936860379924521,0.04112962944444446,0.6090612083818469,0.7502296283289138,0.17315021763755867
3,6,0.5396479903163494,0.4128165446666666,0.9113020482301196,0.7441254788570171,0.10446509355555553,0.6065018091023674,0.9030709722082135,0.11022855625931727
3,7,0.637755467562024,0.5814069673333333,0.9542666287783784,0.7342847088342528,0.08278039844444446,0.6635845420475408,0.9256997568558684,0.038923562634264
3,8,0.5438899519852819,0.4892632822222222,0.9889773249311409,0.8490356710951161,0.13205524666666663,0.6244909037679324,0.9428113486275823,0.12906665460831546
3,9,0.43183020712305115,0.33575431555555557,0.9752441639654347,0.8974623066267848,-0.039737577777777804,0.4114608122288197,0.9709091723294101,-0.04950506655516862
3,10,0.3715005800392303,0.32659207874999996,0.9658010592017795,0.8989555399233427,0.15131911874999998,0.2583602136552762,0.9769216622174823,-0.43791714205235377
3,11,0.3118456482419076,0.23199978249999997,0.9571891364927366,0.9069954776836995,-0.062499242499999955,0.3776903493604252,0.9819858026304445,0.1743351431404535
3,12,0.39145817327626825,0.32560131000000003,0.916907699007192,0.7862898861822687,-0.12562465999999997,0.5100367633808371,0.957632897347274,0.23249028034480712
6,1,0.6062734379693867,0.49598158788888885,0.7019641099731193,0.19715659391644969,-0.3049438256666666,1.3432795688165589,-0.05907828672923503,0.5486617588447958
6,2,0.6397055717271881,0.46774673733333333,0.7869306235614051,0.505744003566658,-0.03462476177777776,1.332620642860442,-0.0013367052082532695,0.519964233516544
6,3,0.7330709287008844,0.6346476488888889,0.809388190897923,0.5278305230882585,0.14797540888888883,1.2915623613799427,0.07315965935120589,0.4324153826241498
6,4,0.6536777257493914,0.6055194377777778,0.8673062975252712,0.7208513451355251,0.11911407555555559,1.2146238558134412,0.30011432067717103,0.4618270317837456
6,5,0.574370354727542,0.49241725055555563,0.9280055310851533,0.8316410136593831,-0.17660723611111118,1.1254974208963984,0.6337331797272897,0.48967421509496944
6,6,0.7918390403169805,0.7377808755555555,0.8502985447088977,0.6552285251392354,-0.3393891555555556,0.9172240729505523,0.8458924207537301,0.13670054715226754
6,7,0.6878320970300246,0.5847820375,0.8463196890786219,0.6536155470038683,-0.1461853475,0.6968052095098026,0.8661654268655319,0.012877504871254608
6,8,0.6002246476748219,0.44948435249999996,0.8454846806548858,0.6554499308682873,-0.1502054025,0.4736032094485847,0.8965589236130151,-0.26735764390968186
6,9,0.5568574258461471,0.50375047,0.8999218443465784,0.5675435526493368,-0.31061924500000004,0.5331627331312645,0.8492228837155676,-0.04444176466671568
6,10,0.5701730423798116,0.402634685,0.7722376007644199,0.2394689906451385,-0.358186185,0.7678541528180985,0.7887149456120776,0.2574461695789211
6,11,0.5430465229049322,0.450169885,0.6565866553287335,-0.034100205274435025,-0.3531986275,1.187060444964788,0.4176332783283104,0.5425283310480111
6,12,0.6596435665171974,0.560143194,0.08660300956485521,-0.962709524497791,-0.361745699,1.3050095785089089,0.07512207538598355,0.49452971274670676
12,1,1.1696800111409242,0.9651844512500001,0.2840746886997848,-0.001676884446834448,0.07589884624999998,1.5336842895459284,0.13290709708435794,0.23733977122030336
12,2,1.0248759228933337,0.8982943099999999,0.2644587301317196,-0.004540085518561776,0.10470664250000006,1.311525828948862,0.17535431988016548,0.21856215083866648
12,3,0.7553986538008127,0.718743567625,0.4732546818198126,0.20419482609801687,0.106953963125,1.0981461651346782,0.17208813472463047,0.3121146548755014
12,4,0.6659433897396139,0.5116556087499999,0.4491606950503605,-0.03747631521976724,0.19873366125000003,0.8122961282685028,0.281138368751394,0.18017165592165962
12,5,0.7404813490071035,0.52750988775,-0.07451810416142393,-0.9227233390983771,0.06190316774999999,0.7804325723597139,0.07084443300650006,0.05119112754586086
12,6,0.7560201409421444,0.57969198225,-0.002697302093142535,-1.578125763787487,0.037335294750000025,0.8089962917096715,-0.2471704964465218,0.06548379925892023
12,7,0.835059439656887,0.6658552437499999,0.0028398028846694226,-1.5512641279066095,-0.015181576249999995,0.9881168959186964,-0.4365291527525787,0.15489812682486837
12,8,0.961521379681417,0.7689380318750001,-0.015363999814383593,-1.0915117644353423,0.12132024437499989,1.2508996762330702,-0.37634745811614345,0.2313361351432116
12,9,1.0066706632314713,0.8370099693750002,0.10524142258848469,-0.5566004749600864,0.015773723125,1.4589165500466434,-0.3222482757063064,0.3099874950357602
12,10,1.2328182976578912,1.047915427625,0.059111462606685816,-0.5066973746608332,0.069472424875,1.6743282234974122,-0.18453580316768692,0.26369377260885873
12,11,1.2882405680741358,1.01987520625,0.18494726497936165,-0.31594078096100087,0.20476027125000001,1.8814156903778603,-0.1941207539980687,0.3152812668340149
12,12,1.2174428914630937,1.0156451025,0.23338813884482976,-0.2599244036905317,0.2279404225,1.7672471530603748,-0.1399723318948455,0.31110773648449497
