lead_months,season,rmse,mae,corr,r2,bias,persistence_rmse,persistence_corr,rmse_skill_vs_persistence
3,DJF,0.4026415518639423,0.3261865215384615,0.8575547641930308,0.6686443357580275,-0.09012646623076923,0.6981761955266019,0.7984205372783365,0.4232952162451651
3,JJA,0.5755485122119834,0.4944955980740741,0.9554374194065964,0.7853167804890261,0.10643357955555555,0.631975151879085,0.9225085269182591,0.08928616813386614
3,MAM,0.43187301503918374,0.3402493018888888,0.8184607976599005,0.6542112064333028,-0.022923855148148157,0.7166253218048131,0.4987170547855196,0.3973517235596472
3,SON,0.377379335122136,0.2996209492,0.9614564750696976,0.9007057656022426,0.014116832400000003,0.3577093792452191,0.957601998237579,-0.05498865005558784
6,DJF,0.6346456727835341,0.505950018423077,0.5683521537900798,0.21891772017341815,-0.2288493415,1.3279089982722112,-0.0013724283190268125,0.5220714118141425
6,JJA,0.7017162549914241,0.59656636,0.8432930838634117,0.6566865047236787,-0.217025136,0.7280219776902342,0.8334907080873181,0.036133143648038324
6,MAM,0.6569091413676414,0.5775281124074074,0.8607489839631175,0.7203306717653597,0.030160749444444426,1.212461530508479,0.3215290936403001,0.4582020750034448
6,SON,0.5568024835360634,0.4521850133333334,0.8187607452442802,0.3508149960682808,-0.34066801916666667,0.8723483631363487,0.6655035909994556,0.36172003403067676
12,DJF,1.140276162421939,0.9597079545833332,0.2552089922096251,-0.08344263616953507,0.1361819704166667,1.5487037590621822,0.0495319105106721,0.2637222220520511
12,JJA,0.8550660958574509,0.6714950859583334,0.003552850554006438,-1.2862352354124558,0.04782465429166666,1.0320852677952534,-0.3417750135397171,0.17151603405400018
12,MAM,0.7216694425033637,0.5859696880416666,0.3178785631809906,-0.09054297530570254,0.12253026404166667,0.9082629942184514,0.18503786603180097,0.2054400024033226
12,SON,1.18220000288769,0.96826686775,0.12089159238156728,-0.43529834680537194,0.09666880641666668,1.6804302524452877,-0.22032856313582314,0.29648969294178984
