model_type,lead_months,task,n_samples,rmse,mae,corr,r2,bias,persistence_rmse,persistence_corr,rmse_skill_vs_persistence
cnn_tuned,3,regression,105,0.4551849997912583,0.3667570056095238,0.9151520366787202,0.7926172835392485,0.0025180499714285813,0.6212284297299682,0.7991741897487135,0.2672824069092984
cnn_tuned,6,regression,102,0.6407279241107262,0.5344564591568628,0.7941946573842479,0.5917943308663666,-0.18370003435294116,1.0712499571006924,0.39394040031262095,0.4018875614755326
cnn_tuned,12,regression,96,0.993701588247621,0.7963598990833334,0.1799128922265413,-0.3220047331307119,0.10080142379166668,1.3334608011986453,-0.06466039075248346,0.2547950510773286
