month,sst_nino34_lag0,sst_nino4_lag0,sst_nino3_lag0,sst_nino12_lag0,d20_nino34_lag0,d20_nino4_lag0,tauu_eq_lag0,olr_eq_lag0,slp_eq_lag0,sst_nino34_lag1,sst_nino4_lag1,sst_nino3_lag1,sst_nino12_lag1,d20_nino34_lag1,d20_nino4_lag1,tauu_eq_lag1,olr_eq_lag1,slp_eq_lag1,sst_nino34_lag2,sst_nino4_lag2,sst_nino3_lag2,sst_nino12_lag2,d20_nino34_lag2,d20_nino4_lag2,tauu_eq_lag2,olr_eq_lag2,slp_eq_lag2,sst_nino34_lag3,sst_nino4_lag3,sst_nino3_lag3,sst_nino12_lag3,d20_nino34_lag3,d20_nino4_lag3,tauu_eq_lag3,olr_eq_lag3,slp_eq_lag3,season_sin,season_cos
1,0.012772772,0.06061639,0.026106328,0.02176281,0.08991386,0.035739712,0.05807411,0.0066998145,0.0,0.0,0.0044012,0.0,0.0,0.0029215605,0.03470511,0.0033866453,0.0,0.0,0.006021406,0.011297677,0.00499888,0.0,0.012863581,0.08740356,0.00671814,0.0060870224,0.0028057932,0.017888235,0.009535099,0.0014393488,0.0031937538,0.0049560154,0.030193249,0.0055068624,0.0064913426,0.0,0.0010316283,0.04528986
2,0.0076478696,0.04886128,0.030424204,0.03950728,0.121199146,0.047530003,0.041800104,0.013116866,0.0,0.0,0.005687111,0.0,0.0,0.002677059,0.037259564,0.0038691412,0.0,0.0,0.003938462,0.015667211,0.0042330953,0.0,0.0073155537,0.09895614,0.0068818657,0.007852691,0.0019102541,0.023164593,0.016896097,0.00082660303,0.003292651,0.0057307435,0.027394256,0.0050139865,0.005905764,0.0,0.0010622665,0.04676261
3,0.010939581,0.0438646,0.030793713,0.04668655,0.10708805,0.029246977,0.051380083,0.013587146,0.0,0.0,0.009622131,0.0,0.0,0.0017503854,0.046085823,0.0036515046,0.0,0.0,0.0053270916,0.009700183,0.008798651,0.0,0.007897945,0.10396557,0.0069551137,0.010797691,0.0017510261,0.027773922,0.016488664,0.0007573671,0.0041998522,0.0060969684,0.0326028,0.0041055945,0.0063063074,0.0,0.0010622665,0.016983347
4,0.01640229,0.061380506,0.05216045,0.046302624,0.14695358,0.040566787,0.06251771,0.015153178,0.0,0.0,0.0046402104,0.0,0.0,0.0075739473,0.03642656,0.0024917973,0.0,0.0,0.0074718636,0.010153475,0.005027105,0.0,0.008905066,0.15817206,0.0062051145,0.005353432,0.0017439541,0.032695994,0.018148819,0.0006261107,0.0031274916,0.007823292,0.03696142,0.009767432,0.0028717422,0.0,0.0016789165,0.058968194
5,0.017425092,0.047701783,0.047376264,0.039891787,0.15675974,0.051430687,0.074495636,0.017553968,0.0,0.0,0.0037498313,0.0,0.0,0.006128108,0.03981407,0.00294761,0.0,0.0,0.0068799388,0.012295262,0.0046018753,0.0,0.007952433,0.15403503,0.004798874,0.0054851724,0.0021643303,0.027935425,0.015048048,0.0014644992,0.0026897448,0.0063114036,0.059312887,0.006369591,0.0033181924,0.0,0.0016789165,0.06929627
6,0.015478159,0.051213887,0.03475878,0.03604432,0.16435665,0.037929714,0.060248308,0.01972841,0.0,0.0,0.0041788155,0.0,0.0,0.0072214473,0.038054015,0.0031038825,0.0,0.0,0.006660036,0.010165663,0.0031254862,0.0,0.007614471,0.15155071,0.003869584,0.006882108,0.0012876916,0.023267014,0.01599487,0.0007037024,0.0018694904,0.0077573434,0.050843604,0.0052598473,0.0027461583,0.0,0.0016789165,0.07264238
7,0.012187818,0.045566518,0.024855591,0.028540483,0.16638786,0.029885631,0.07897028,0.011813786,0.0,0.0,0.0039930767,0.0,0.0,0.0061685173,0.029004473,0.0063220514,0.0,0.0,0.006603959,0.012228207,0.002999847,0.0,0.006394771,0.15470856,0.0022654552,0.0068848105,0.0020883013,0.022893261,0.016575024,0.0015191633,0.002112293,0.009478431,0.05503222,0.005847647,0.005455227,0.0,0.0017215299,0.057391006
8,0.01744565,0.058500484,0.03027964,0.0295469,0.20098399,0.044227153,0.0607465,0.006018515,0.0,0.0,0.0038342546,0.0,0.0,0.0076435064,0.03969716,0.00706465,0.0,0.0,0.0054353867,0.011106523,0.0032891403,0.0,0.0067848433,0.14239967,0.0023148174,0.009779207,0.0021392812,0.025483394,0.016282253,0.0015320115,0.003088641,0.0046675717,0.05524127,0.0064400765,0.0051557478,0.0,0.0048202835,0.04181576
9,0.019371653,0.06697356,0.03158096,0.025635004,0.2074385,0.035905197,0.07837088,0.005563382,0.0,0.0,0.0043874094,0.0,0.0,0.002507347,0.037691444,0.007436643,0.0,0.0,0.0046344316,0.0072104884,0.0033208933,0.0,0.0067886556,0.08704702,0.005116626,0.0050884904,0.0020826184,0.012043508,0.012056295,0.0023116865,0.0021126484,0.005905994,0.049776226,0.0050074,0.0073946435,0.0,0.0028778359,0.036883585
10,0.015912777,0.07048092,0.026721755,0.035715923,0.20004228,0.04053284,0.06465383,0.0075323978,0.0,0.0,0.0045510326,0.0,0.0,0.0027719745,0.035311803,0.0057082567,0.0,0.0,0.0055229208,0.0065038507,0.003464472,0.0,0.0059376894,0.09518971,0.005635682,0.009006457,0.0021611557,0.016865995,0.01517395,0.002096964,0.005138102,0.0050113234,0.032040887,0.0049532107,0.0071770535,0.0,0.0028778359,0.037568435
