model_type,lead_months,task,n_samples,rmse,mae,corr,r2,bias,persistence_rmse,persistence_corr,rmse_skill_vs_persistence,model,mape_like,persistence_mae,persistence_r2,model_type_original
cnn,3,regression,105,0.4551849997912583,0.3667570056095238,0.9151520366787202,0.7926172835392485,0.0025180499714285,0.6212284297299682,0.7991741897487135,0.2672824069092984,cnn,,,,cnn_tuned
cnn,6,regression,102,0.6407279241107262,0.5344564591568628,0.7941946573842479,0.5917943308663666,-0.1837000343529411,1.0712499571006924,0.3939404003126209,0.4018875614755326,cnn,,,,cnn_tuned
cnn,12,regression,96,0.993701588247621,0.7963598990833334,0.1799128922265413,-0.3220047331307119,0.1008014237916666,1.3334608011986453,-0.0646603907524834,0.2547950510773286,cnn,,,,cnn_tuned
lstm,3,regression,105,0.4171670828900324,0.3253817721428572,0.9313614170234368,0.8258125985702225,-0.1104674196857142,0.6212284297299682,0.7991741897487135,0.3284803738435407,lstm,0.4017058915343916,0.5079047619047619,0.6137225817028455,lstm_tuned_wide
lstm,6,regression,102,0.7605167141175868,0.6345163682941176,0.6599738205487798,0.4248922042898033,-0.0844676145686274,1.0712499571006924,0.3939404003126209,0.2900660494065235,lstm,0.786877441531915,0.8523529411764704,-0.1410728270822057,lstm_tuned_wide
lstm,12,regression,96,0.8563101770929434,0.6963183165729167,0.3595138214342678,0.0182899132476554,0.2753838947812499,1.3334608011986453,-0.0646603907524834,0.3578287593282023,lstm,0.9700559917428532,0.9884375,-1.3805732502350954,lstm_tuned_wide
xgb,3,regression,105,0.4132937576093667,0.3319659211971428,0.9324154883438815,0.8290321828947089,-0.0279889905114285,0.6212284297299682,0.7991741897487135,0.334715319147556,xgb,,,,xgb_tuned
xgb,6,regression,102,0.7663592763256125,0.6307482152686275,0.7003658954654617,0.4160218934374343,0.086355127072549,1.0712499571006924,0.3939404003126209,0.2846120821327805,xgb,,,,xgb_tuned
xgb,12,regression,96,0.8712109291569045,0.7154294173250001,-0.0028543840324977,-0.0161730480830697,0.0808276526624999,1.3334608011986453,-0.0646603907524834,0.3466542635720715,xgb,,,,xgb_tuned
