month,sst_nino34_lag0,sst_nino4_lag0,sst_nino3_lag0,sst_nino12_lag0,d20_nino34_lag0,d20_nino4_lag0,tauu_eq_lag0,olr_eq_lag0,slp_eq_lag0,sst_nino34_lag1,sst_nino4_lag1,sst_nino3_lag1,sst_nino12_lag1,d20_nino34_lag1,d20_nino4_lag1,tauu_eq_lag1,olr_eq_lag1,slp_eq_lag1,sst_nino34_lag2,sst_nino4_lag2,sst_nino3_lag2,sst_nino12_lag2,d20_nino34_lag2,d20_nino4_lag2,tauu_eq_lag2,olr_eq_lag2,slp_eq_lag2,sst_nino34_lag3,sst_nino4_lag3,sst_nino3_lag3,sst_nino12_lag3,d20_nino34_lag3,d20_nino4_lag3,tauu_eq_lag3,olr_eq_lag3,slp_eq_lag3,season_sin,season_cos
1,0.0,0.01100533,0.0,0.0009715115,0.0034587858,0.005751713,0.0019094333,0.0,0.0,0.0,0.0,0.0,0.027148644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008797796,0.023934029,0.03322011,0.0,0.0,0.0,0.0,0.0,0.0,0.021228079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.01100533,0.0,0.0010678705,0.003219267,0.0053342907,0.001697768,0.0,0.0,0.0,0.0,0.0,0.024976129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006773247,0.02122678,0.036943577,0.0,0.0,0.0,0.0,0.0,0.0,0.025917288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.010793427,0.0,0.0021573547,0.0042658104,0.007023346,0.0018446909,0.0,0.0,0.0,0.0,0.0,0.023120405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006799573,0.01197742,0.04590696,0.0,0.0,0.0,0.0,0.0,0.0,0.017742354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.009964569,0.0,0.0019705256,0.0040262914,0.0064639836,0.0017072653,0.0,0.0,0.0,0.0,0.0,0.02546037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007567136,0.012315655,0.046830855,0.0,0.0,0.0,0.0,0.0,0.0,0.024523288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.009964569,0.0,0.0021573547,0.0060948636,0.0060867527,0.0015910389,0.0,0.0,0.0,0.0,0.0,0.02546037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007567136,0.008193253,0.04451393,0.0,0.0,0.0,0.0,0.0,0.0,0.019622825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.009964569,0.0,0.0021573547,0.0040262914,0.006860969,0.0017284645,0.0,0.0,0.0,0.0,0.0,0.027058259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008914775,0.008043962,0.05048325,0.0,0.0,0.0,0.0,0.0,0.0,0.018847868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.010793427,0.0,0.0013746016,0.0058553447,0.008570068,0.0030464376,0.0,0.0,0.0,0.0,0.0,0.022545781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061226627,0.009137176,0.041840464,0.0,0.0,0.0,0.0,0.0,0.0,0.025688289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.011622286,0.0,0.0013746016,0.0060948636,0.0072510326,0.0023663172,0.0,0.0,0.0,0.0,0.0,0.020205816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005355099,0.0095418515,0.045677748,0.0,0.0,0.0,0.0,0.0,0.0,0.022211272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0159271,0.0,0.0011583406,0.0034587858,0.005212106,0.0016769805,0.0,0.0,0.0,0.0,0.0,0.021127855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006773247,0.0114175305,0.037797965,0.0,0.0,0.0,0.0,0.0,0.0,0.016340278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.019775374,0.0,0.0011583406,0.0028424016,0.005049729,0.0015607541,0.0,0.0,0.0,0.0,0.0,0.017950194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238121,0.020775573,0.03858027,0.0,0.0,0.0,0.0,0.0,0.0,0.019133186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.018946515,0.0,0.0011583406,0.0031505937,0.005212106,0.0016769805,0.0,0.0,0.0,0.0,0.0,0.020290159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006005684,0.023464423,0.0349453,0.0,0.0,0.0,0.0,0.0,0.0,0.015652966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.019775374,0.0,0.0011583406,0.0031505937,0.005049729,0.0015607541,0.0,0.0,0.0,0.0,0.0,0.017950194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238121,0.027907139,0.036750264,0.0,0.0,0.0,0.0,0.0,0.0,0.014614295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
