trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_accuracy,val_f1_macro,val_auc_macro,val_bss
1,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,102,0.5046728971962616,0.5041950113378685,0.7291415283061538,-0.011674389325427637
1,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,80,0.5046728971962616,0.49750759878419454,0.7060362427832306,0.11148701120245808
1,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,81,0.48598130841121495,0.41992788571953515,0.667479232839769,0.03786917329161266
2,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,25,0.48598130841121495,0.4861819727891157,0.7368888036218272,-0.027957618059488487
2,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,28,0.5327102803738317,0.5245014245014245,0.7132588190766019,0.08488840676550202
2,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,13,0.45794392523364486,0.43906763906763907,0.6562675912444859,0.035387596315821446
3,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,18,0.4953271028037383,0.4969201011754203,0.7297943390035692,-0.018880838201467576
3,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,30,0.5327102803738317,0.526182737450343,0.7183560213143979,0.09651830895735503
3,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,18,0.4392523364485981,0.41163534586165534,0.6658545639180543,0.03786312810497505
4,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,180,0.4672897196261682,0.4548768458213226,0.7188579584176978,-0.03063865203828242
4,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,346,0.6355140186915887,0.6319546219399664,0.7379265131169398,0.13949989433373866
4,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,454,0.4766355140186916,0.43058387240219154,0.6763726277044309,0.03285743066302549
5,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,42,0.45794392523364486,0.46285158860336556,0.7447633363207888,-0.027874871549936397
5,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,53,0.5607476635514018,0.5593530374506596,0.7223581003873235,0.11877414678791232
5,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,68,0.4672897196261682,0.42531085127434015,0.6796877047452776,0.03582618545692229
6,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,54,0.514018691588785,0.51262025012025,0.731873983747419,-0.02919871534730656
6,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,59,0.514018691588785,0.5062799313273697,0.7107508386514647,0.08391889343883119
6,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,34,0.4672897196261682,0.43422733077905495,0.6684221027641698,0.04678403626618721
