epoch,train_loss,val_loss,lr
1,0.5914418721264025,1.0986039528140314,0.0005
2,0.41846083504121717,0.5500164926052094,0.0005
3,0.3982997240608912,0.48789939836219504,0.0005
4,0.35338545359114065,0.5553120639589098,0.0005
5,0.31642212823172594,0.4967999287225582,0.0005
6,0.32869322091990916,0.5726042246377027,0.0005
7,0.3110622832336901,1.1131999845857974,0.0005
8,0.3056603433372818,0.6866675107567398,0.0005
9,0.26159146502381914,0.6079871102615639,0.0005
10,0.24273070200952784,0.6456641251290286,0.0005
11,0.20659626015343027,0.5910663924835347,0.0005
12,0.19910395261468916,0.49289629415229513,0.0005
13,0.25177397014938785,0.47020227600027015,0.0005
14,0.1846128947731119,0.5461783696103979,0.0005
15,0.209140098262056,0.6181437417312905,0.0005
16,0.2017372240344312,0.6242385550781533,0.0005
17,0.1715105494884687,0.46992817410716303,0.0005
18,0.15440784826456944,0.5005511100645419,0.0005
19,0.17076698641910731,0.5389942670309985,0.0005
20,0.1257558587845705,0.7527931641649317,0.0005
21,0.1844682961795189,0.5203131945044907,0.0005
22,0.17183717556088884,0.5563501428674769,0.0005
23,0.14703077945939477,0.5753976658538535,0.0005
24,0.16519614199982996,0.5217026494167469,0.0005
25,0.16608220088863934,0.7040399092215078,0.0005
26,0.12301049504800471,0.6704033922266077,0.0005
27,0.12570592366460698,0.4856639438205295,0.0005
28,0.14269265356093552,0.5699829635796724,0.00025
29,0.09611642852750522,0.566246697196254,0.00025
