feature,mean_abs_shap
sst_nino4_lag0,0.20426112
d20_nino34_lag0,0.17915761
tauu_eq_lag0,0.11423281
sst_nino34_lag0,0.09473303
sst_nino3_lag0,0.08497329
d20_nino4_lag0,0.068927675
d20_nino34_lag3,0.035180286
d20_nino4_lag3,0.034945473
sst_nino34_lag3,0.03410461
sst_nino12_lag0,0.031801496
sst_nino4_lag3,0.030682094
slp_eq_lag0,0.02985086
d20_nino4_lag1,0.026054217
sst_nino3_lag3,0.024868911
season_sin,0.024607137
season_cos,0.024096388
olr_eq_lag2,0.022561662
slp_eq_lag2,0.021016153
sst_nino3_lag2,0.019953253
olr_eq_lag1,0.019591892
d20_nino34_lag2,0.018650621
slp_eq_lag1,0.017705148
sst_nino34_lag2,0.01716824
sst_nino12_lag1,0.016988294
sst_nino12_lag2,0.014984388
sst_nino3_lag1,0.012533158
tauu_eq_lag3,0.012211321
tauu_eq_lag2,0.0120495595
d20_nino34_lag1,0.010403217
sst_nino12_lag3,0.010192417
tauu_eq_lag1,0.009519214
olr_eq_lag0,0.008873484
slp_eq_lag3,0.00873372
olr_eq_lag3,0.008165385
d20_nino4_lag2,0.0068121827
sst_nino4_lag2,0.0063678175
sst_nino4_lag1,0.004385096
sst_nino34_lag1,0.003971018
