trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_rmse,val_mae,val_corr,val_r2
1,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,499,0.5682535171508789,0.4449998736381531,0.6973385905874414,0.4523417353630066
1,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,323,0.5211794972419739,0.4371117651462555,0.8578787792931493,0.7207285165786743
1,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,141,0.45809921622276306,0.35832399129867554,0.8050798710379587,0.6330756545066833
2,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,10,0.6280292272567749,0.4940134286880493,0.5926778669468232,0.3310631513595581
2,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,31,0.5103861689567566,0.41993749141693115,0.8661216924654567,0.7321758270263672
2,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,37,0.46149030327796936,0.3518088161945343,0.8044609285917969,0.6276232004165649
3,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,8,0.6569536328315735,0.510335385799408,0.5347476101210964,0.2680273652076721
3,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,63,0.5179454684257507,0.42567604780197144,0.8535471550063599,0.7241836786270142
3,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,269,0.4459415674209595,0.3411302864551544,0.8244505083771705,0.6522930860519409
4,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,267,0.531522274017334,0.41109660267829895,0.7261270611435077,0.5208534598350525
4,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,412,0.48536911606788635,0.3962656855583191,0.8793078087589624,0.7577877044677734
4,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,1199,0.4474087655544281,0.3559669554233551,0.8103202241886125,0.6500012874603271
5,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,28,0.56124347448349,0.42941778898239136,0.6977863946065661,0.46577030420303345
5,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,112,0.4961393475532532,0.4200519919395447,0.8678744078511371,0.7469191551208496
5,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,382,0.42236313223838806,0.3190256953239441,0.839067894609823,0.6880898475646973
6,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,20,0.6550306677818298,0.5133631825447083,0.5395092680440322,0.2723061442375183
6,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,287,0.5118605494499207,0.4187738001346588,0.8577763452143704,0.7306262254714966
6,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,722,0.4455811083316803,0.3436856269836426,0.818181881782305,0.6528549194335938
7,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,3,0.01,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,307,0.5507619976997375,0.43055593967437744,0.7041957299248834,0.48553794622421265
7,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,3,0.01,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,796,0.4996086657047272,0.419490247964859,0.8681749874979942,0.7433673143386841
7,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,3,0.01,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,791,0.4570419192314148,0.354267954826355,0.80885634990327,0.6347674131393433
8,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,3,0.03,0.6,1.0,3.0,0.1,10.0,0.5,1.0,50,180,0.5202057361602783,0.4055550694465637,0.7418765538558633,0.5410391092300415
8,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,3,0.03,0.6,1.0,3.0,0.1,10.0,0.5,1.0,50,520,0.5071189999580383,0.4277174770832062,0.8624420855767212,0.7355937361717224
8,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,3,0.03,0.6,1.0,3.0,0.1,10.0,0.5,1.0,50,251,0.4598919153213501,0.3610002398490906,0.8021979974994841,0.6301982402801514
9,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,241,0.5591217279434204,0.4332192540168762,0.6902542743293992,0.46980196237564087
9,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,658,0.4985211491584778,0.415400892496109,0.8668665450258314,0.7444834113121033
9,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,898,0.4285973906517029,0.3295381963253021,0.8330163229254992,0.6788141131401062
10,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,373,0.5113943815231323,0.3967374563217163,0.7500498175852403,0.5564553737640381
10,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,970,0.4718456268310547,0.3908487558364868,0.8822230355520323,0.7710968255996704
10,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,1599,0.4316352307796478,0.3304812014102936,0.8275301692965469,0.6742449402809143
11,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,2,0.01,1.0,0.8,3.0,1.0,3.0,0.1,0.0,50,365,0.5149803161621094,0.40153777599334717,0.7463116561910604,0.5502133369445801
11,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,2,0.01,1.0,0.8,3.0,1.0,3.0,0.1,0.0,50,748,0.495228111743927,0.4099173843860626,0.8703571788400243,0.7478479146957397
11,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,2,0.01,1.0,0.8,3.0,1.0,3.0,0.1,0.0,50,927,0.4444091022014618,0.35066109895706177,0.817921197877763,0.6546787023544312
12,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,2,0.03,0.6,1.0,1.0,1.0,10.0,0.5,0.0,50,234,0.49867862462997437,0.3853950798511505,0.7619560102435361,0.5782384872436523
12,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,2,0.03,0.6,1.0,1.0,1.0,10.0,0.5,0.0,50,471,0.5085117220878601,0.42405542731285095,0.8641854111514599,0.7341394424438477
12,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,2,0.03,0.6,1.0,1.0,1.0,10.0,0.5,0.0,50,486,0.47486060857772827,0.3778516948223114,0.788978674450619,0.6057336330413818
13,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,2,0.1,0.8,1.0,10.0,0.0,3.0,0.5,1.0,50,59,0.5124218463897705,0.4009046256542206,0.751857582555497,0.5546712875366211
13,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,2,0.1,0.8,1.0,10.0,0.0,3.0,0.5,1.0,50,95,0.47987139225006104,0.3961065709590912,0.8781361052711318,0.7632436752319336
13,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,2,0.1,0.8,1.0,10.0,0.0,3.0,0.5,1.0,50,112,0.43792596459388733,0.3439195156097412,0.8188184983574468,0.6646804809570312
14,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,2,0.05,0.8,0.8,1.0,0.0,3.0,0.0,0.0,50,63,0.5029447674751282,0.3868856430053711,0.758039780476496,0.5709915161132812
14,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,2,0.05,0.8,0.8,1.0,0.0,3.0,0.0,0.0,50,141,0.47041377425193787,0.38857927918434143,0.8834553431857973,0.7724839448928833
14,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,2,0.05,0.8,0.8,1.0,0.0,3.0,0.0,0.0,50,556,0.41455239057540894,0.31598395109176636,0.8412086673914733,0.6995195150375366
15,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.01,0.8,0.6,5.0,0.1,5.0,0.0,1.0,100,162,0.590484082698822,0.4569832682609558,0.6491836041135811,0.4086538553237915
15,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,4,0.01,0.8,0.6,5.0,0.1,5.0,0.0,1.0,100,832,0.5117990970611572,0.4245624840259552,0.8580805533109196,0.7306908965110779
15,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,4,0.01,0.8,0.6,5.0,0.1,5.0,0.0,1.0,100,1196,0.42691710591316223,0.32750654220581055,0.835751755829627,0.6813275218009949
16,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,5,0.1,0.8,0.8,10.0,1.0,10.0,0.1,1.0,100,51,0.5505682826042175,0.43683600425720215,0.7090179149715261,0.48589980602264404
16,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,5,0.1,0.8,0.8,10.0,1.0,10.0,0.1,1.0,100,243,0.5184965133666992,0.4298945963382721,0.8514133034138286,0.723596453666687
16,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,5,0.1,0.8,0.8,10.0,1.0,10.0,0.1,1.0,100,141,0.4275936484336853,0.3311990797519684,0.8336295869172106,0.680316686630249
17,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,3,0.03,0.8,0.6,5.0,0.0,1.0,0.5,1.0,50,108,0.5754262804985046,0.4484756290912628,0.687065026284625,0.4384288191795349
17,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,3,0.03,0.8,0.6,5.0,0.0,1.0,0.5,1.0,50,259,0.49428418278694153,0.4176132380962372,0.8715260274445721,0.7488082647323608
17,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,3,0.03,0.8,0.6,5.0,0.0,1.0,0.5,1.0,50,174,0.43836188316345215,0.34511300921440125,0.8197823159093648,0.6640125513076782
18,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,3,0.1,0.6,1.0,5.0,0.0,1.0,0.5,1.0,50,65,0.5605924129486084,0.45494839549064636,0.7118835958755158,0.46700912714004517
18,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,3,0.1,0.6,1.0,5.0,0.0,1.0,0.5,1.0,50,93,0.4812154173851013,0.39643245935440063,0.8764237708377841,0.7619155645370483
18,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,3,0.1,0.6,1.0,5.0,0.0,1.0,0.5,1.0,50,249,0.44064614176750183,0.3393963873386383,0.8163699185425228,0.6605018377304077
19,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,5,0.1,0.6,0.8,3.0,0.1,10.0,0.0,1.0,100,23,0.559644341468811,0.43367379903793335,0.6882539511357064,0.4688103199005127
19,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,5,0.1,0.6,0.8,3.0,0.1,10.0,0.0,1.0,100,361,0.5282429456710815,0.4373537003993988,0.8451889694364813,0.7131073474884033
19,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,5,0.1,0.6,0.8,3.0,0.1,10.0,0.0,1.0,100,301,0.4419965147972107,0.3413289785385132,0.822513884103391,0.6584178805351257
20,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.05,1.0,1.0,10.0,0.01,1.0,0.5,0.0,100,52,0.5052270889282227,0.38407084345817566,0.756205619286162,0.5670889616012573
20,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.05,1.0,1.0,10.0,0.01,1.0,0.5,0.0,100,73,0.488198459148407,0.4011813998222351,0.8782484759435799,0.7549556493759155
20,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.05,1.0,1.0,10.0,0.01,1.0,0.5,0.0,100,1599,0.4512512981891632,0.35815533995628357,0.8066273573042143,0.6439635753631592
21,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,2,0.05,1.0,1.0,1.0,0.0,1.0,0.1,0.0,50,81,0.5291203856468201,0.41135746240615845,0.7367234690585155,0.5251741409301758
21,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,2,0.05,1.0,1.0,1.0,0.0,1.0,0.1,0.0,50,116,0.47584909200668335,0.38844501972198486,0.8822544830025955,0.767195999622345
