rank,trial_id,n_folds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_iteration,std_best_iteration,mean_val_rmse,std_val_rmse,mean_val_mae,std_val_mae,mean_val_corr,std_val_corr,mean_val_r2,std_val_r2,mean_selection_score,std_selection_score
1,14,3,800,2,0.05,0.8,0.8,1.0,0.0,3.0,0.0,0.0,50,,,,,253.33333333333334,216.37364801554637,0.4626369774341583,0.03650262091096359,0.3638162910938263,0.03382963851842717,0.8275679303512554,0.05210129955303705,0.6809983253479004,0.08329496008969317,0.6809983253479004,0.08329496008969317
2,128,3,1600,2,0.1,1.0,0.6,10.0,0.0,1.0,0.1,1.0,50,,,,,82.66666666666667,39.37286149395574,0.4655793110529582,0.03625644811742912,0.3679189880688985,0.02976971707267518,0.8263368601219816,0.045866050650804555,0.679371972878774,0.07415396784438091,0.679371972878774,0.07415396784438091
3,190,3,500,2,0.05,0.8,0.6,3.0,1.0,3.0,0.0,1.0,50,,,,,254.33333333333334,161.7103033891849,0.4648722509543101,0.0324325368413094,0.3651670614878337,0.029498717521283222,0.8267355324767683,0.04950992809760089,0.6784413059552511,0.07930635134110083,0.6784413059552511,0.07930635134110083
4,236,3,800,2,0.03,1.0,0.6,5.0,0.01,1.0,0.1,0.0,100,,,,,366.0,270.9132702545226,0.46472535530726117,0.03833652979639358,0.3689599533875783,0.029807083072742165,0.8249164122971893,0.0550319224727048,0.6773070295651754,0.08805936821011764,0.6773070295651754,0.08805936821011764
5,114,3,800,2,0.05,0.6,0.6,1.0,0.0,5.0,0.1,0.0,100,,,,,303.3333333333333,262.13524923002797,0.4678475558757782,0.03253876464272962,0.3734423716862996,0.03371497749700709,0.8243712922409387,0.04843813694147322,0.6751993695894877,0.0767176736368296,0.6751993695894877,0.0767176736368296
6,124,3,800,2,0.03,1.0,0.6,3.0,0.0,1.0,0.0,0.0,50,,,,,274.6666666666667,133.23996731044664,0.4668502410252889,0.034038362076619005,0.37198446194330853,0.02427298291782919,0.8243810725903941,0.05187984609171655,0.6745000680287679,0.08533031174219312,0.6745000680287679,0.08533031174219312
7,38,3,1600,2,0.03,1.0,1.0,10.0,1.0,1.0,0.1,1.0,100,,,,,277.6666666666667,135.563843098208,0.469200720389684,0.030555204015561638,0.3705732027689616,0.02595121359241901,0.8236201119233438,0.047582194976572526,0.6733028093973795,0.07590504275741568,0.6733028093973795,0.07590504275741568
8,24,3,800,2,0.03,1.0,0.6,3.0,0.01,3.0,0.1,0.0,100,,,,,282.0,135.13203419865576,0.47053614258766174,0.03467491101203435,0.374516099691391,0.03109251987665233,0.8218969999605913,0.04975272304034349,0.6710263888041178,0.08062663425836286,0.6710263888041178,0.08062663425836286
9,79,3,1200,2,0.03,1.0,0.6,1.0,0.01,3.0,0.1,0.0,50,,,,,254.33333333333334,111.7566801383951,0.4710309108098348,0.0358061334417424,0.37444961071014404,0.030044754224380812,0.8223468464595375,0.0507598493458702,0.6702354550361633,0.08192466825924108,0.6702354550361633,0.08192466825924108
10,117,3,1600,2,0.1,0.8,0.8,3.0,1.0,3.0,0.1,1.0,50,,,,,93.0,52.083266666624,0.4710235297679901,0.03152061483420171,0.3736424545447032,0.03258195068964895,0.8229258904609281,0.051086341457042994,0.6691386699676514,0.08332929448989189,0.6691386699676514,0.08332929448989189
