epoch,train_loss,val_loss,lr
1.0,0.49571359233011175,0.30897886830347554,0.001
2.0,0.2386900167676467,0.283531250777068,0.001
3.0,0.20456254784064956,0.23894083223961018,0.001
4.0,0.17394473375398903,0.2041066382770185,0.001
5.0,0.1589410050383097,0.17492951894247974,0.001
6.0,0.1483160242249694,0.18649092868522363,0.001
7.0,0.15423437839821924,0.1605849547518624,0.001
8.0,0.14900181470792503,0.1870855484847669,0.001
9.0,0.14661502159094508,0.1566768393472389,0.001
10.0,0.13522798803788197,0.16465766396787432,0.001
11.0,0.12537403319832646,0.16630018419689602,0.001
12.0,0.12274406246746643,0.16564212463520192,0.001
13.0,0.11010388709321807,0.18416001399358115,0.001
14.0,0.11511657330431516,0.23841561763374894,0.001
15.0,0.10136702279501324,0.18183884245378,0.001
16.0,0.10347796278663829,0.19015844883742156,0.001
17.0,0.09564695172483408,0.22690582992853942,0.001
18.0,0.08438333359700215,0.25374700404979567,0.001
19.0,0.08000752263808553,0.19395682767585473,0.001
20.0,0.07626411545125744,0.2410178460456707,0.0005
21.0,0.06737728454644167,0.23971686760584512,0.0005
22.0,0.054554146773453,0.24983365226674964,0.0005
23.0,0.06138120417164851,0.29479698340098065,0.0005
24.0,0.05536906553220145,0.2511953932267648,0.0005
25.0,0.05231740768951706,0.28032937425154225,0.0005
26.0,0.045943459095079686,0.2727746433681912,0.0005
27.0,0.043244012596109244,0.29066294542065374,0.0005
28.0,0.044835067035842543,0.35979565426155374,0.0005
29.0,0.050263817410303065,0.29078913176501237,0.0005
