rank,trial_id,selection_metric,mean_selection_score,std_selection_score,n_folds,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs
1,43,val_r2,0.2630725900332133,0.33698808225635973,3,128,2,0.2,0.001,0.0001,16,6,60
2,35,val_r2,0.2568119366963704,0.3148104742578423,3,32,1,0.0,0.001,0.0,32,6,60
3,28,val_r2,0.24925369024276733,0.2657729734883202,3,128,1,0.4,0.0003,0.0001,32,12,60
4,2,val_r2,0.24419244130452475,0.2688161855276827,3,32,1,0.4,0.001,0.0001,32,6,60
5,58,val_r2,0.24169105291366577,0.24901298786425036,3,32,1,0.2,0.0003,0.0,32,9,60
6,48,val_r2,0.24131989479064941,0.3156624847581506,3,64,1,0.2,0.001,0.0001,16,12,60
7,60,val_r2,0.24079050620396933,0.3229335987361581,3,64,1,0.0,0.001,0.0001,16,6,60
8,40,val_r2,0.23559552431106567,0.30411865530278237,3,64,1,0.2,0.001,0.0001,16,6,60
9,13,val_r2,0.23337646325429282,0.25984778803427305,3,32,1,0.2,0.0003,0.0001,16,12,60
10,73,val_r2,0.230354110399882,0.31316927900217933,3,64,1,0.0,0.001,0.0,32,9,60
11,62,val_r2,0.22969754536946616,0.32351130742251466,3,128,1,0.2,0.001,0.0001,32,6,60
12,27,val_r2,0.2285943627357483,0.26640438367156527,3,128,1,0.2,0.0003,0.0001,16,12,60
13,3,val_r2,0.2277202606201172,0.2666430961728783,3,32,1,0.0,0.0003,0.0,16,6,60
14,50,val_r2,0.22638307015101114,0.2323181651963106,3,32,2,0.4,0.0003,0.0,32,6,60
15,29,val_r2,0.22590720653533936,0.2970716149727801,3,64,1,0.4,0.0003,0.0001,32,9,60
16,78,val_r2,0.22583929697672525,0.29574699002559296,3,64,1,0.2,0.0003,0.0001,16,6,60
17,14,val_r2,0.2250103751818339,0.28417076433851074,3,128,1,0.0,0.0003,0.0,16,12,60
18,49,val_r2,0.224168062210083,0.2953920221602923,3,128,1,0.0,0.0003,0.0001,32,6,60
19,52,val_r2,0.22112915913263956,0.3444140505305653,3,32,1,0.0,0.0003,0.0001,32,9,60
20,11,val_r2,0.2207152247428894,0.32593969783367,3,128,1,0.4,0.001,0.0001,32,9,60
21,63,val_r2,0.21898961067199707,0.3112780372810888,3,128,1,0.2,0.001,0.0,32,9,60
22,16,val_r2,0.2185306747754415,0.2700195779493038,3,32,1,0.0,0.0003,0.0,32,9,60
23,57,val_r2,0.2173761526743571,0.2892114858700926,3,64,1,0.4,0.001,0.0,16,9,60
24,44,val_r2,0.21696444352467856,0.31975974392491424,3,64,1,0.2,0.001,0.0,32,9,60
25,17,val_r2,0.21652869383494058,0.279189133769412,3,32,1,0.0,0.0003,0.0,32,6,60
26,34,val_r2,0.21646376450856528,0.31601298458481536,3,128,2,0.4,0.001,0.0001,16,6,60
27,39,val_r2,0.2142019271850586,0.29481116075903113,3,128,1,0.4,0.0003,0.0001,32,6,60
28,53,val_r2,0.21375014384587607,0.27369863895825997,3,128,2,0.0,0.0003,0.0,16,9,60
29,25,val_r2,0.2133396863937378,0.25074880174844955,3,32,2,0.2,0.001,0.0,32,12,60
30,76,val_r2,0.21294971307118735,0.3009560341907983,3,128,1,0.2,0.0003,0.0,16,9,60
31,12,val_r2,0.21270747979482016,0.28311588920528863,3,64,2,0.4,0.0003,0.0,32,6,60
32,15,val_r2,0.21210408210754395,0.29221495497184885,3,64,2,0.0,0.001,0.0,16,6,60
33,7,val_r2,0.21155434846878052,0.2740245121265495,3,32,2,0.2,0.0003,0.0001,16,6,60
34,20,val_r2,0.2107729117075602,0.23831564376691902,3,32,2,0.2,0.0003,0.0001,32,12,60
35,22,val_r2,0.2107106645901998,0.2989838569301449,3,128,1,0.0,0.0003,0.0001,16,12,60
36,68,val_r2,0.20888380209604898,0.26781561091753675,3,32,1,0.2,0.001,0.0001,32,12,60
37,65,val_r2,0.2079490820566813,0.3303369380003876,3,128,1,0.0,0.001,0.0001,16,9,60
38,61,val_r2,0.2073755661646525,0.2584568986004653,3,128,2,0.4,0.0003,0.0,32,9,60
39,8,val_r2,0.20601644118626913,0.22779650709796886,3,32,1,0.4,0.0003,0.0001,32,12,60
40,45,val_r2,0.2056496540705363,0.26622547070080943,3,64,1,0.4,0.001,0.0,16,12,60
41,72,val_r2,0.20459357897440592,0.2820895673913667,3,128,2,0.2,0.001,0.0001,32,12,60
42,59,val_r2,0.20456584294637045,0.2894748209684493,3,64,2,0.4,0.0003,0.0001,16,6,60
43,26,val_r2,0.20139803489049277,0.34400399454920494,3,128,2,0.0,0.001,0.0001,16,6,60
44,80,val_r2,0.20047640800476074,0.28932499721764443,3,64,1,0.2,0.0003,0.0001,32,6,60
45,75,val_r2,0.20038163661956787,0.252859423251043,3,64,2,0.0,0.0003,0.0,32,9,60
46,10,val_r2,0.19666123390197754,0.29283756237269193,3,32,1,0.4,0.001,0.0,32,9,60
47,41,val_r2,0.1964782476425171,0.25188522114808004,3,32,2,0.0,0.001,0.0001,16,9,60
48,19,val_r2,0.196292777856191,0.2837073786360764,3,32,2,0.2,0.0003,0.0,32,6,60
49,36,val_r2,0.19541776180267334,0.28868063070969857,3,128,2,0.2,0.001,0.0,32,9,60
50,74,val_r2,0.19455871979395548,0.2682301429919716,3,32,1,0.4,0.001,0.0,32,6,60
51,31,val_r2,0.19341901938120523,0.2986847463236778,3,64,2,0.0,0.0003,0.0,16,9,60
52,70,val_r2,0.1930063764254252,0.30669815743703527,3,128,1,0.4,0.001,0.0,16,12,60
53,1,val_r2,0.19203325112660727,0.30725826095060377,3,128,1,0.2,0.0003,0.0,32,6,60
54,64,val_r2,0.1904897689819336,0.34085151072803255,3,64,1,0.2,0.0003,0.0,32,12,60
55,32,val_r2,0.18995902935663858,0.2921184702240821,3,128,1,0.0,0.0003,0.0,16,9,60
56,33,val_r2,0.1892739733060201,0.2531851611516236,3,32,2,0.4,0.0003,0.0001,32,9,60
57,21,val_r2,0.1890929937362671,0.30060890056754375,3,64,2,0.2,0.0003,0.0001,16,6,60
58,46,val_r2,0.18732122580210367,0.2910446267951849,3,32,1,0.4,0.001,0.0,16,9,60
59,6,val_r2,0.18576814730962118,0.18111453521035803,3,32,2,0.4,0.001,0.0,32,12,60
60,77,val_r2,0.18521438042322794,0.2825236775165746,3,128,2,0.4,0.0003,0.0001,16,9,60
61,37,val_r2,0.1844306786855062,0.24464576204123237,3,128,2,0.4,0.001,0.0,32,9,60
62,66,val_r2,0.18325392405192056,0.21372712434361218,3,32,2,0.2,0.001,0.0,16,12,60
63,55,val_r2,0.1832131346066793,0.28774431573108894,3,64,2,0.4,0.001,0.0001,32,9,60
64,67,val_r2,0.18162004152933756,0.38274997591004256,3,128,2,0.0,0.001,0.0,16,6,60
65,38,val_r2,0.18048954010009766,0.2693819439835314,3,32,2,0.0,0.001,0.0001,32,6,60
66,56,val_r2,0.1773232618967692,0.21538766174762838,3,32,1,0.4,0.0003,0.0,32,6,60
67,9,val_r2,0.17560611168543497,0.25902094459774616,3,128,2,0.0,0.0003,0.0,32,12,60
68,23,val_r2,0.1742129921913147,0.35865856461553103,3,32,1,0.0,0.0003,0.0,16,9,60
69,71,val_r2,0.1741741100947062,0.15203414124963613,3,32,2,0.2,0.0003,0.0001,16,12,60
70,24,val_r2,0.17324568827946982,0.21412426057099002,3,64,2,0.4,0.0003,0.0001,32,12,60
71,51,val_r2,0.17233540614446005,0.27117466303082605,3,128,2,0.4,0.001,0.0,32,12,60
72,47,val_r2,0.17184734344482422,0.28755349700263394,3,64,1,0.2,0.0003,0.0,32,6,60
73,54,val_r2,0.16976213455200195,0.28393097552963076,3,64,2,0.0,0.0003,0.0001,16,9,60
74,4,val_r2,0.16832458972930908,0.28096041122011806,3,128,2,0.0,0.0003,0.0001,16,9,60
75,79,val_r2,0.1658916473388672,0.2614525942529183,3,32,2,0.0,0.001,0.0001,32,12,60
76,69,val_r2,0.16340899467468262,0.27599845249863736,3,32,1,0.0,0.0003,0.0001,32,12,60
77,5,val_r2,0.16074985265731812,0.1953390184360954,3,32,2,0.4,0.0003,0.0001,16,12,60
78,30,val_r2,0.13999966780344644,0.27249994058673654,3,32,2,0.2,0.0003,0.0,32,9,60
79,18,val_r2,0.1362322767575582,0.28976972272401436,3,32,1,0.2,0.0003,0.0001,32,12,60
80,42,val_r2,0.12950952847798666,0.1315189557756864,3,32,2,0.2,0.0003,0.0,16,12,60
