rank,trial_id,n_folds,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_val_loss,std_best_val_loss,mean_val_rmse,std_val_rmse,mean_val_mae,std_val_mae,mean_val_corr,std_val_corr,mean_val_r2,std_val_r2,mean_selection_score,std_selection_score
1,52,3,"[128, 256, 512]",5,0.2,128,1,0.0005,0.0001,8,12,0.5,60,,,,,0.4150335568690968,0.04602206762186773,0.6432232062021891,0.03603647659509109,0.49558544158935547,0.04249256456046214,0.6550571951461698,0.05861309488129146,0.40033312638600665,0.07026443647188534,0.40033312638600665,0.07026443647188534
2,124,3,"[128, 256, 512]",5,0.4,128,2,0.0005,0.0,32,25,1.0,60,,,,,0.419064203898112,0.04662580289739338,0.6463840007781982,0.03538296750362652,0.49965845545132953,0.006939036578575694,0.6429557005121237,0.045493015838176956,0.3966122269630432,0.04534538349494265,0.3966122269630432,0.04534538349494265
3,22,3,"[64, 128, 256, 512]",3,0.0,256,2,0.001,0.0001,8,25,0.5,60,,,,,0.42459259671956945,0.029843659285159304,0.6512137055397034,0.022638143337377136,0.5177451968193054,0.022296485696088057,0.6207375775540317,0.10252325792531473,0.3733925024668376,0.13120979886288683,0.3733925024668376,0.13120979886288683
4,49,3,"[128, 256, 512]",5,0.0,128,2,0.0003,0.0001,16,25,0.5,60,,,,,0.43169631829885685,0.041817068704070336,0.6562363902727762,0.03240572139960606,0.5150539676348368,0.025399166984658078,0.6364589308588661,0.05742007439029964,0.3704058726628621,0.108678664312123,0.3704058726628621,0.108678664312123
5,113,3,"[64, 128, 256]",5,0.2,256,2,0.0003,1e-05,16,25,1.0,60,,,,,0.43074236624523116,0.013703381426444587,0.6562258998552958,0.010486863601926561,0.5139770607153574,0.011408757831063737,0.6114277601221253,0.09248305971379789,0.36882545550664264,0.10484967898776429,0.36882545550664264,0.10484967898776429
6,67,3,"[64, 128, 256]",5,0.4,512,2,0.0005,1e-05,32,25,1.0,60,,,,,0.4346875051657359,0.02455026473901285,0.6590406894683838,0.018785245861217565,0.5242119630177816,0.0271332911939429,0.6138882752574526,0.09004476170065945,0.3641188343365987,0.10499836090338738,0.3641188343365987,0.10499836090338738
7,13,3,"[64, 128, 256, 512]",5,0.0,512,2,0.0005,0.0001,16,25,0.5,60,,,,,0.43736834030285054,0.011226360007333442,0.661284069220225,0.008467172694144928,0.5207804441452026,0.019986438526515517,0.6263247704952349,0.06710254225177212,0.3607107599576314,0.09635860403709347,0.3607107599576314,0.09635860403709347
8,106,3,"[64, 128, 256]",5,0.2,256,1,0.0005,1e-05,32,12,0.5,60,,,,,0.4469389220078786,0.08005735569022553,0.6657586097717285,0.06086388132500277,0.5105730692545573,0.04171463922686381,0.6241781715543411,0.06840545836679464,0.36063555876413983,0.0795171488919785,0.36063555876413983,0.0795171488919785
9,76,3,"[64, 128, 256, 512]",3,0.2,256,2,0.0005,0.0,16,12,1.0,60,,,,,0.44105637588790647,0.03732580812975704,0.6635123093922933,0.028421105379630236,0.5317832032839457,0.015271154644497898,0.606776471607199,0.07755009079248053,0.3595702846844991,0.0856437245551382,0.3595702846844991,0.0856437245551382
10,64,3,"[64, 128, 256, 512]",5,0.2,128,1,0.001,1e-05,32,25,0.5,60,,,,,0.4342808524767558,0.02632504804057333,0.6587029496828715,0.019779325504263978,0.5250549018383026,0.0253071407148211,0.611622837970269,0.10245820870089392,0.35893042882283527,0.13248462996789517,0.35893042882283527,0.13248462996789517
11,1,3,"[64, 128, 256]",5,0.4,128,1,0.0003,1e-05,32,25,1.0,60,,,,,0.44760146737098694,0.0723308361655242,0.6667703787485758,0.05494325643029125,0.5392521222432455,0.039758437099173045,0.6138191233718516,0.08071498232672601,0.35777731736501056,0.07912216613544011,0.35777731736501056,0.07912216613544011
12,33,3,"[64, 128, 256, 512]",5,0.4,512,1,0.0005,0.0001,8,12,1.0,60,,,,,0.43740546034875316,0.09220663074976924,0.6576796770095825,0.06973249336736224,0.5324723521868387,0.05814331937785901,0.6183857671655387,0.12582209579046244,0.3568565448125203,0.1897057428879799,0.3568565448125203,0.1897057428879799
13,119,3,"[64, 128, 256]",5,0.2,256,1,0.0003,0.0,8,25,1.0,60,,,,,0.44606939060294365,0.07147156290236803,0.6655912597974142,0.05529674076791855,0.526212473710378,0.0373670147098763,0.6123902108915179,0.09001068358200554,0.3554893732070923,0.11365933790746571,0.3554893732070923,0.11365933790746571
14,8,3,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,,,,,0.44225425108385236,0.04302109043876536,0.6642093062400818,0.032866651354587675,0.5159247716267904,0.039071579346983895,0.6126014929076163,0.08894043232617443,0.35458236932754517,0.1131795266367715,0.35458236932754517,0.1131795266367715
15,3,3,"[64, 128, 256]",5,0.4,128,2,0.0003,1e-05,16,12,0.5,60,,,,,0.44792529002899695,0.05021839988333415,0.668220043182373,0.03751359211145167,0.5374432504177094,0.03269680960750109,0.6299895131503903,0.053981868838444594,0.35390323400497437,0.06522627694325865,0.35390323400497437,0.06522627694325865
16,16,3,"[64, 128, 256, 512]",5,0.0,256,2,0.0005,1e-05,16,25,0.5,60,,,,,0.44426576918530686,0.04201013196493362,0.6657594045003256,0.032096576658543735,0.5367531379063925,0.003168372073822669,0.6307090781796365,0.08882867312501116,0.3536405762036641,0.10044057675706772,0.3536405762036641,0.10044057675706772
17,68,3,"[64, 128, 256, 512]",3,0.0,128,2,0.0005,0.0,16,12,0.5,60,,,,,0.44196344874915305,0.018888022771839524,0.6646494070688883,0.014304871509832938,0.5311667124430338,0.009493271206634447,0.6342003729947322,0.10084131687985817,0.35305394728978473,0.10582011306587483,0.35305394728978473,0.10582011306587483
18,18,3,"[128, 256, 512]",5,0.2,128,1,0.001,0.0001,16,12,1.0,60,,,,,0.4519773295549589,0.0636382915755836,0.6706081628799438,0.04756042410612123,0.5215729375680288,0.048307910627345636,0.6142596124071641,0.057569698672028706,0.35059523582458496,0.06600064176933447,0.35059523582458496,0.06600064176933447
19,39,3,"[64, 128, 256, 512]",5,0.0,128,1,0.0005,1e-05,8,12,0.5,60,,,,,0.44824747653022357,0.014734460086662689,0.6694217721621195,0.011026305500328112,0.5192116399606069,0.01976678614083388,0.6068961160567158,0.08060558702812663,0.34512025117874146,0.09788249134335356,0.34512025117874146,0.09788249134335356
20,89,3,"[64, 128, 256, 512]",5,0.4,128,1,0.0005,0.0001,8,12,1.0,60,,,,,0.4418703966608672,0.04972430050831621,0.6637122631072998,0.03676548288764334,0.5454780260721842,0.031638887349726294,0.6198460430615959,0.13377572187289513,0.34459426005681354,0.16067344859749194,0.34459426005681354,0.16067344859749194
21,91,3,"[64, 128, 256, 512]",5,0.2,256,1,0.0005,1e-05,16,25,1.0,60,,,,,0.4504571108617515,0.03232109667249533,0.6707185705502828,0.02436596517091351,0.5292537212371826,0.009603610674247035,0.6073874190277855,0.08448170698261492,0.3442381024360657,0.09398837008722784,0.3442381024360657,0.09398837008722784
22,75,3,"[128, 256, 512]",5,0.4,512,2,0.0003,0.0001,16,25,1.0,60,,,,,0.4578518100152506,0.06450371578113227,0.6750327746073405,0.046717768065261116,0.5224565863609314,0.01832230497648842,0.6110356239541371,0.015074388485483472,0.3439958691596985,0.036311600820930434,0.3439958691596985,0.036311600820930434
23,46,3,"[64, 128, 256, 512]",5,0.2,128,2,0.001,1e-05,8,12,1.0,60,,,,,0.45160080961349225,0.047265582087843164,0.6710534890492758,0.03588765990920748,0.5292651653289795,0.010774809189840017,0.5957321515466023,0.08339925413869836,0.3439400792121887,0.101050761751943,0.3439400792121887,0.101050761751943
24,56,3,"[64, 128, 256, 512]",5,0.4,512,1,0.0003,1e-05,8,12,1.0,60,,,,,0.44767200157649795,0.045180312834190266,0.6682407855987549,0.03354062615155115,0.5364490350087484,0.02837213314282853,0.6218244274327213,0.08642177506903545,0.3413441975911458,0.1406337034390129,0.3413441975911458,0.1406337034390129
25,32,3,"[64, 128, 256, 512]",3,0.2,128,2,0.0003,0.0001,16,12,1.0,60,,,,,0.45716182195880334,0.049013430716973706,0.6751792033513387,0.03598410995009323,0.5424891908963522,0.020246230010152903,0.6073259195662681,0.0629515880437883,0.34066800276438397,0.06068405503747443,0.34066800276438397,0.06068405503747443
26,90,3,"[64, 128, 256, 512]",3,0.2,128,1,0.001,0.0,16,12,0.5,60,,,,,0.44849237604676007,0.061974419758692834,0.6681128740310669,0.04601715929593669,0.5211209654808044,0.036266238838613345,0.6005886886911966,0.14895081406854635,0.3401431043942769,0.1569112741365851,0.3401431043942769,0.1569112741365851
27,63,3,"[32, 64, 128]",5,0.2,256,1,0.001,0.0,32,25,1.0,60,,,,,0.45234395066897076,0.023902932499327737,0.6723262667655945,0.01792722502991943,0.5174678067366282,0.022278851159313728,0.5992116376833048,0.10212671286824661,0.339962363243103,0.09810039978050684,0.339962363243103,0.09810039978050684
