epoch,train_loss,val_loss,lr
1,0.9933936529070417,1.0106971241809704,0.0003
2,0.8574923830240315,0.9915083161106816,0.0003
3,0.7801284077011537,1.2862627528331898,0.0003
4,0.7350979772312247,1.369594121420825,0.0003
5,0.6535129639961267,1.8643188388259322,0.0003
6,0.5238350451549637,1.5826559861501057,0.0003
7,0.42842379611600595,1.1668886674775019,0.0003
8,0.2718920989942699,2.5998767901349953,0.0003
9,0.24713672651123034,1.8368127544720967,0.0003
10,0.18831218848718662,2.7208831751788103,0.0003
11,0.15771754120833406,2.8580063625618264,0.0003
12,0.2809479305073851,5.324574691277963,0.0003
13,0.18639012929806456,2.817593141838356,0.00015
14,0.12132718337473468,2.6027540851522377,0.00015
15,0.05895802336875523,2.245661395567435,0.00015
16,0.0401784955724099,2.681765463617113,0.00015
17,0.020111932648444474,2.7014891306559243,0.00015
18,0.020099378185132025,2.7632223632600574,0.00015
19,0.011041152597088773,2.748548909469887,0.00015
20,0.016614771517707367,4.381193227238125,0.00015
21,0.00802516512358068,2.6535630932560674,0.00015
22,0.003208090517107061,3.880024883482191,0.00015
23,0.005647389009316391,3.1700975718321622,0.00015
24,0.01346552064439218,4.856423784185339,7.5e-05
25,0.02730547608133127,2.6728089738775185,7.5e-05
26,0.023247869982314515,3.858370034782975,7.5e-05
27,0.0014140347600551874,3.1226519213782415,7.5e-05
