trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_rmse,val_mae,val_corr,val_r2
1,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,32,0.8337265253067017,0.6119950413703918,0.3541982873693187,-0.08573079109191895
1,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,150,0.5302075147628784,0.4302027225494385,0.8056077457780995,0.5477233529090881
1,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,5,0.9565590023994446,0.7532339096069336,0.09038715919767291,-0.01960158348083496
2,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,6,0.8444889783859253,0.6248511672019958,0.30543977184649423,-0.11394274234771729
2,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,31,0.5650469660758972,0.4533206522464752,0.7719760727034172,0.4863332509994507
2,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,1,0.9596033096313477,0.7530379891395569,0.03574450451020965,-0.02610170841217041
3,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,4,0.8487996459007263,0.6177806854248047,0.27796897602991444,-0.12534403800964355
3,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,51,0.568985104560852,0.44345107674598694,0.7685921232630659,0.479148268699646
3,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,2,0.9605052471160889,0.7492405772209167,0.05168696068289421,-0.028031587600708008
4,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,74,0.8544161319732666,0.6321476697921753,0.2972234168756538,-0.14028608798980713
4,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,425,0.5275356769561768,0.4273369312286377,0.8105545129511081,0.5522701740264893
4,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,0,0.9602993130683899,0.7611275315284729,-0.07522302414816033,-0.02759087085723877
5,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,18,0.8307796716690063,0.607961893081665,0.32775177423043844,-0.07806909084320068
5,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,59,0.5491338968276978,0.4425528347492218,0.7950065245056315,0.5148579478263855
5,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,2,0.9581799507141113,0.7579672932624817,0.04908483886871334,-0.023060083389282227
6,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,6,0.8537677526473999,0.6248521208763123,0.27855689862501554,-0.1385561227798462
