trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_accuracy,val_f1_macro,val_auc_macro,val_bss
1,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_bss,0.29839480271575625,256,1,0.0,0.0005,0.0,16,6,60,0.7429698400008373,4,24,0.6153846153846154,0.4773391812865497,0.8713407192335119,0.29839480271575625
1,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_bss,-0.043584904811850844,256,1,0.0,0.0005,0.0,16,6,60,1.044597103045537,5,25,0.44871794871794873,0.393965813320652,0.6427368927368927,-0.043584904811850844
1,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_bss,0.04343941974965304,256,1,0.0,0.0005,0.0,16,6,60,1.0538728901102572,2,22,0.4810126582278481,0.2966810966810967,0.663173613451672,0.04343941974965304
2,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_bss,0.3650064161854101,32,2,0.0,0.001,0.0001,64,6,60,0.6971420645713806,39,59,0.7564102564102564,0.7614552307873526,0.8974867313981886,0.3650064161854101
2,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_bss,-0.05416873642870357,32,2,0.0,0.001,0.0001,64,6,60,1.0554426908493042,9,29,0.5384615384615384,0.2333333333333333,0.5750273067981401,-0.05416873642870357
2,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_bss,0.19591919206942698,32,2,0.0,0.001,0.0001,64,6,60,0.962733805179596,22,42,0.6455696202531646,0.580938606971431,0.7640724364747946,0.19591919206942698
3,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_bss,0.022837064557411746,32,1,0.0,0.0001,0.0001,32,6,60,1.04763662815094,60,60,0.3333333333333333,0.16666666666666666,0.8164851018215687,0.022837064557411746
3,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_bss,-0.0770808204211686,32,1,0.0,0.0001,0.0001,32,6,60,1.0638631582260132,60,60,0.44871794871794873,0.34245620415833183,0.6290496733205067,-0.0770808204211686
3,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_bss,0.045988436359084894,32,1,0.0,0.0001,0.0001,32,6,60,1.0238707065582275,59,60,0.46835443037974683,0.31882656350741456,0.6474196590257154,0.045988436359084894
4,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_bss,0.3362673377167211,256,2,0.0,0.001,1e-05,32,9,60,0.7483147382736206,3,23,0.7435897435897436,0.72408941105975,0.8812756860880913,0.3362673377167211
4,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_bss,-0.07851776312970649,256,2,0.0,0.001,1e-05,32,9,60,1.0521939992904663,1,21,0.5512820512820513,0.23691460055096417,0.5693876189403918,-0.07851776312970649
4,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_bss,0.11299775700139159,256,2,0.0,0.001,1e-05,32,9,60,1.0223759412765503,6,26,0.6153846153846154,0.5316746411483254,0.7440938206523438,0.11299775700139159
