trial_id,fold_id,train_start,train_end,val_start,val_end,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,best_val_loss,val_rmse,val_mae,val_corr,val_r2
1,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",5,0.4,128,1,0.0003,1e-05,32,25,1.0,60,0.24438199400901794,0.4943500757217407,0.39004266262054443,0.7729868380626038,0.585528552532196
1,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",5,0.4,128,1,0.0003,1e-05,32,25,1.0,60,0.23925279080867767,0.4891347289085388,0.38872987031936646,0.8868045694544856,0.7540148496627808
1,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",5,0.4,128,1,0.0003,1e-05,32,25,1.0,60,0.16145575046539307,0.4018155634403229,0.321675181388855,0.8480864090515665,0.7176999449729919
2,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.4,512,1,0.0005,0.0001,8,25,0.5,60,0.3194203755565893,0.565175473690033,0.43032076954841614,0.6951571909347501,0.45825856924057007
2,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.4,512,1,0.0005,0.0001,8,25,0.5,60,0.3125480619546409,0.5590641498565674,0.4327843487262726,0.8263261980379794,0.678652286529541
2,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.4,512,1,0.0005,0.0001,8,25,0.5,60,0.15293652780145128,0.3910745084285736,0.32103562355041504,0.8595536993894562,0.7325907349586487
3,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",5,0.4,128,2,0.0003,1e-05,16,12,0.5,60,0.2701300844967922,0.5197404026985168,0.383474200963974,0.7614518958205296,0.5418598651885986
3,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",5,0.4,128,2,0.0003,1e-05,16,12,0.5,60,0.2351456297056697,0.48491817712783813,0.3892231583595276,0.8848686148790759,0.7582375407218933
3,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",5,0.4,128,2,0.0003,1e-05,16,12,0.5,60,0.145026014508488,0.3808228075504303,0.3049654960632324,0.8694334352511013,0.7464268207550049
4,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",5,0.0,256,1,0.001,1e-05,8,12,0.5,60,0.20986980325150711,0.4581160843372345,0.3531845211982727,0.8030598670087686,0.6440602540969849
4,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.0,256,1,0.001,1e-05,8,12,0.5,60,0.20627419079575582,0.45417454838752747,0.37320974469184875,0.8905272205841733,0.7879210710525513
4,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.0,256,1,0.001,1e-05,8,12,0.5,60,0.18164335469776224,0.4261963963508606,0.344699501991272,0.8314190927478717,0.6824025511741638
5,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.0,128,2,0.0005,1e-05,32,12,0.5,60,0.2801872491836548,0.5293271541595459,0.40149059891700745,0.7802428741380213,0.5248029828071594
5,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.0,128,2,0.0005,1e-05,32,12,0.5,60,0.19735249876976013,0.44424378871917725,0.3552306294441223,0.9096002205477004,0.7970941066741943
5,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.0,128,2,0.0005,1e-05,32,12,0.5,60,0.16994287073612213,0.41224128007888794,0.3191387951374054,0.85432314464616,0.7028604745864868
6,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.2,512,1,0.001,0.0001,32,25,0.5,60,0.19090962409973145,0.4369320273399353,0.3409762382507324,0.8244946557144348,0.6762176752090454
6,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.2,512,1,0.001,0.0001,32,25,0.5,60,0.19780483841896057,0.44475260376930237,0.36083081364631653,0.8956028599996513,0.796629011631012
6,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.2,512,1,0.001,0.0001,32,25,0.5,60,0.14330163598060608,0.37855204939842224,0.29490238428115845,0.8657893817967296,0.7494418025016785
7,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.2,512,2,0.0005,1e-05,32,25,1.0,60,0.29249081015586853,0.5408244729042053,0.411160945892334,0.718144213879299,0.5039355754852295
7,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",3,0.2,512,2,0.0005,1e-05,32,25,1.0,60,0.26961228251457214,0.5192422270774841,0.4067935347557068,0.8533928574921891,0.7228007912635803
7,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",3,0.2,512,2,0.0005,1e-05,32,25,1.0,60,0.14641840755939484,0.382646769285202,0.2980837821960449,0.86686003283673,0.743992030620575
8,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.235015503156965,0.48478397727012634,0.3787078857421875,0.7773197154043407,0.6014140844345093
8,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.23532389981724391,0.48510193824768066,0.40672287344932556,0.87325466246605,0.758054256439209
8,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.16254530074161905,0.40316909551620483,0.32086876034736633,0.8672409681237495,0.7157949209213257
9,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",3,0.2,128,1,0.0005,0.0,8,12,1.0,60,0.2151794556145356,0.46387118101119995,0.37063083052635193,0.8267585796632612,0.6350610256195068
9,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",3,0.2,128,1,0.0005,0.0,8,12,1.0,60,0.21741049451248667,0.4662681221961975,0.38497626781463623,0.8827914650347644,0.7764763832092285
9,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",3,0.2,128,1,0.0005,0.0,8,12,1.0,60,0.1707651381180665,0.4132368266582489,0.33888664841651917,0.8419193370582432,0.7014235258102417
10,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.2,512,2,0.0005,0.0001,8,12,1.0,60,0.30927809850077764,0.5561274886131287,0.4444142282009125,0.7046299686006432,0.47546541690826416
10,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",3,0.2,512,2,0.0005,0.0001,8,12,1.0,60,0.26159932903040234,0.5114720463752747,0.39945271611213684,0.8644606909160734,0.7310349941253662
