trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_accuracy,val_f1_macro,val_auc_macro,val_bss
1,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,32,0.45794392523364486,0.43267399267399265,0.6241558374096944,-0.1368722122907633
1,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,183,0.6728971962616822,0.6451055174167303,0.8112590388723598,0.26473636512031207
1,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,37,0.4766355140186916,0.36959876543209874,0.644861289987979,0.04990952352666311
2,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,3,0.35514018691588783,0.3478276109855057,0.5956141593588999,-0.16030076158763973
2,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,39,0.6448598130841121,0.6306577480490524,0.8040480020128493,0.26379566408813493
2,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,6,0.4392523364485981,0.3532626165220187,0.6215808513157844,0.015242562175488028
3,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,12,0.38317757009345793,0.3735294117647059,0.6245994979515316,-0.16138198161861395
3,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,37,0.6448598130841121,0.6284241642099114,0.8124318450867941,0.26964482270169665
3,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,10,0.4392523364485981,0.35868238504984645,0.642566769923063,0.035844788371171554
4,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,65,0.3925233644859813,0.37914801743989807,0.5867612881638128,-0.155348164775726
4,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,351,0.6261682242990654,0.6040148017970074,0.7690693468676817,0.21946506913288766
4,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,103,0.4672897196261682,0.3643904320987654,0.5811421596542528,0.01624719375142636
5,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,12,0.40186915887850466,0.396914824645932,0.6167676902599765,-0.1375804112456558
5,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,144,0.7102803738317757,0.6948080904602644,0.8426873682192833,0.30510660826027436
5,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,29,0.48598130841121495,0.3753205128205128,0.6521275805651128,0.04976412430624133
6,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,24,0.40186915887850466,0.3826960784313725,0.6181218449100637,-0.15635287537439946
6,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,149,0.6355140186915887,0.6169515669515669,0.8040501847162348,0.25824924057499665
6,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,17,0.4392523364485981,0.3532436258749123,0.6231768002799735,0.025410467810375592
7,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,3,0.01,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,112,0.4485981308411215,0.42583333333333334,0.6046724170847594,-0.1439302254969672
7,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,3,0.01,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,749,0.719626168224299,0.7111486029460079,0.8486388066406568,0.30881599432510876
7,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,3,0.01,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,135,0.4672897196261682,0.3580395990263163,0.6453208492706378,0.0452736010826007
8,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,3,0.03,0.6,1.0,3.0,0.1,10.0,0.5,1.0,50,65,0.4392523364485981,0.4265070424824649,0.6027294247490601,-0.14320006660208917
8,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,3,0.03,0.6,1.0,3.0,0.1,10.0,0.5,1.0,50,397,0.6728971962616822,0.6682539682539682,0.8362882970191018,0.300833979224041
8,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,3,0.03,0.6,1.0,3.0,0.1,10.0,0.5,1.0,50,45,0.48598130841121495,0.3762373737373737,0.6621027501051223,0.053011799167096196
9,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,67,0.42990654205607476,0.4197998080351022,0.6055651688190257,-0.14334716542270698
9,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,585,0.6448598130841121,0.6339802519577801,0.8367647414825953,0.30632691129963374
9,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,121,0.4953271028037383,0.3878769809002367,0.6384108028111363,0.03759298489217011
10,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,103,0.42990654205607476,0.41132526520245033,0.6011270455169474,-0.14476710548400318
10,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,587,0.6822429906542056,0.6705790297339593,0.8265547495427237,0.298599497232369
10,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,119,0.48598130841121495,0.3773134328358209,0.5934727647296837,0.019575147578894225
11,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,2,0.01,1.0,0.8,3.0,1.0,3.0,0.1,0.0,50,61,0.4205607476635514,0.3978068839476088,0.6045993562823857,-0.1378876984709425
