lead_months,month,rmse,mae,corr,r2,bias,persistence_rmse,persistence_corr,rmse_skill_vs_persistence
3,1,0.3509891994525206,0.3139272883333334,0.8538161527415368,0.7134559625571292,-0.05636585499999999,0.6944622219946724,0.8154138549122699,0.4945884911573877
3,2,0.3920556251053533,0.33921681644444446,0.745360397422668,0.5550661606110736,0.003505672444444441,0.8334733215753085,0.5216927878729921,0.5296122683754922
3,3,0.29247781300175113,0.22538420844444446,0.898171069935759,0.7382653924708851,-0.08237102933333332,0.8200000000000001,0.3423515431259815,0.643319740241767
3,4,0.20609073373012518,0.17629089116666666,0.9713463910461525,0.907229330044894,-0.025956911166666683,0.7051950084905594,0.4474582735549176,0.7077535557557989
3,5,0.40208777991354583,0.35100705555555556,0.9341644479728902,0.8047309429532103,0.0903979222222222,0.6090612083818469,0.7502296283289138,0.33982369197044715
3,6,0.49621057217640363,0.4137995766666667,0.9445289398532773,0.7836594443251327,0.12811612111111115,0.6065018091023674,0.9030709722082135,0.18184815819296007
3,7,0.577849521038201,0.5126946105555557,0.9490894779521216,0.781858808118174,0.163300855,0.6635845420475408,0.9256997568558684,0.12919984655579508
3,8,0.6298142533191368,0.5740318944444444,0.9563302537736185,0.797568897958931,-0.08411663222222225,0.6244909037679324,0.9428113486275823,-0.008524302786614424
3,9,0.48496616744294735,0.3806677012444444,0.9835770719013646,0.8706756242773096,-0.21869194124444447,0.4114608122288197,0.9709091723294101,-0.17864485032234412
3,10,0.3197797041236625,0.25243001374999996,0.973487862435266,0.9251321592397344,-0.06649235625000002,0.2583602136552762,0.9769216622174823,-0.2377281300376104
3,11,0.28892643518633776,0.20360776,0.9753826185893681,0.9201639118294104,-0.107578285,0.3776903493604252,0.9819858026304445,0.23501769193837985
3,12,0.23506972921063526,0.20311739375000004,0.9753384621575515,0.9229366721470462,-0.10083033625000003,0.5100367633808371,0.957632897347274,0.5391121854580665
6,1,0.6916243075753171,0.5419221686666665,0.08706472960688633,-0.044802634238439776,-0.08469578511111113,1.3432795688165589,-0.05907828672923503,0.4851225883047977
6,2,0.8656983424202108,0.7431367432222221,0.3639195554778366,0.09484104541595484,0.13671521655555555,1.332620642860442,-0.0013367052082532695,0.3503790091664739
6,3,0.9218865330935475,0.7888517255555556,0.6361258452153957,0.25327471637789234,0.11776724999999999,1.2915623613799427,0.07315965935120589,0.28622375453200943
6,4,0.8792508434320494,0.7661446102666667,0.8378920235353452,0.4949507231411502,0.15857337693333332,1.2146238558134412,0.30011432067717103,0.27611265065824875
6,5,0.9727960068653595,0.8566931835555556,0.7965359586459861,0.5170570528499912,0.09544234355555549,1.1254974208963984,0.6337331797272897,0.13567460146591925
6,6,1.0059811892037844,0.8855173371111111,0.7393910752839299,0.4435358038266609,0.14383923399999998,0.9172240729505523,0.8458924207537301,-0.09676710290400004
6,7,0.8619192265374327,0.7684287537500001,0.729088538641666,0.4560904901236432,0.20238917625,0.6968052095098026,0.8661654268655319,-0.23695864321075688
6,8,0.7265697616483199,0.63272496325,0.7739137008348447,0.4951302738547342,0.11086224925000004,0.4736032094485847,0.8965589236130151,-0.5341318368476928
6,9,0.49852564834086366,0.42574733125,0.8667111958477998,0.6533993608427959,0.053033798749999986,0.5331627331312645,0.8492228837155676,0.06496531478668299
6,10,0.4239281084087092,0.359916795625,0.8110474696544434,0.5795755229704789,0.04576698937500001,0.7678541528180985,0.7887149456120776,0.44790542988814697
6,11,0.4560494780051961,0.36821693,0.5321927735603248,0.2706894840402848,0.058879875,1.187060444964788,0.4176332783283104,0.6158161280332073
6,12,0.4134344809462307,0.33195598137500004,0.4827719824597757,0.2290064289006133,-0.008501058874999995,1.3050095785089089,0.07512207538598355,0.6831942939310707
12,1,1.198654956945306,0.987620467125,-0.4462815064035238,-0.051918000114527185,0.025729559874999974,1.5336842895459284,0.13290709708435794,0.21844739160744298
12,2,1.015778400898146,0.8192541463749999,0.15036409723238275,0.013214774337730995,-0.013254253624999962,1.311525828948862,0.17535431988016548,0.22549874468560505
12,3,0.827425372078353,0.715872986725,0.27093353908589207,0.045200873225656246,-0.021572312975000063,1.0981461651346782,0.17208813472463047,0.24652528201755697
12,4,0.6606922524998465,0.58719883375,-0.01134273856873788,-0.0211792803016555,0.0032803954999999496,0.8122961282685028,0.281138368751394,0.1866362161442483
12,5,0.5547619935320811,0.46073711375000004,-0.18914243826630134,-0.07920003319957458,0.055992820499999985,0.7804325723597139,0.07084443300650006,0.2891608920746296
12,6,0.5063803818809585,0.42125985774999997,-0.29342906228876925,-0.15662110227504566,-0.029458932249999986,0.8089962917096715,-0.2471704964465218,0.3740634078670342
12,7,0.5088813970845023,0.4262001049,0.3127870117066417,0.0525554695008692,0.03417940465,0.9881168959186964,-0.4365291527525787,0.4849987899342896
12,8,0.6956799379965959,0.540236053125,0.03636320427906142,-0.09486703472146418,0.20081014212499998,1.2508996762330702,-0.37634745811614345,0.44385632899710226
12,9,0.8238229919105482,0.6822072767499999,0.14840616557073635,-0.04248580622932607,0.19663179175,1.4589165500466434,-0.3222482757063064,0.4353186329374291
12,10,1.0102393652052544,0.918911344,0.19224946993734182,-0.011757571073900186,0.18569756575,1.6743282234974122,-0.18453580316768692,0.3966300328528053
12,11,1.1411474353720672,1.03824424815,-0.008387125174131196,-0.032585257346187335,0.19136466165,1.8814156903778603,-0.1941207539980687,0.3934634216094578
12,12,1.0998987013620602,0.9874105755,-0.07769281056029503,-0.0283777461908028,0.14053098899999997,1.7672471530603748,-0.1399723318948455,0.3776203291897542
