lead_months,season,rmse,mae,corr,r2,bias,persistence_rmse,persistence_corr,rmse_skill_vs_persistence
3,DJF,0.3359356338594852,0.2885860035769231,0.8802359531224883,0.7693415532365426,-0.04932247434615385,0.6981761955266019,0.7984205372783365,0.5188383161558459
3,JJA,0.5706139952097372,0.5001753605555556,0.9423913868855546,0.7889822117213139,0.06910011462962962,0.631975151879085,0.9225085269182591,0.09709425518851411
3,MAM,0.3107470806425019,0.25089405172222223,0.9308103277915404,0.8209753259290656,-0.005976672759259262,0.7166253218048131,0.4987170547855196,0.5663744062798552
3,SON,0.3796119073490675,0.282972460048,0.9744258071161325,0.8995274430912201,-0.134431704048,0.3577093792452191,0.957601998237579,-0.061229951951675465
6,DJF,0.691081226061059,0.5469683868461538,0.27393246138972543,0.07382654644406317,0.01539101584615386,1.3279089982722112,-0.0013724283190268125,0.4795718479502368
6,JJA,0.8780535370971272,0.7671554308,0.741980406775279,0.4624612277713528,0.15202258040000005,0.7280219776902342,0.8334907080873181,-0.20608108546790294
6,MAM,0.9254348341092418,0.8038965064592594,0.7681280124185607,0.4449579152737262,0.12392765682962965,1.212461530508479,0.3215290936403001,0.23673055942555532
6,SON,0.4605156492243148,0.38462701895833334,0.7872589780109717,0.5559264180709149,0.05256022104166667,0.8723483631363487,0.6655035909994556,0.4720966202439748
12,DJF,1.1073025209638503,0.9314283963333333,-0.1514868556405797,-0.021688273066899466,0.051002098416666676,1.5487037590621822,0.0495319105106721,0.28501334455701355
12,JJA,0.5771631610973128,0.46256533859166665,-0.03371857803508924,-0.0416426345460994,0.06851020484166667,1.0320852677952534,-0.3417750135397171,0.44077957596444317
12,MAM,0.6901468124826801,0.5879363114083334,0.07276221979398186,0.0026464802156985767,0.012566967674999966,0.9082629942184514,0.18503786603180097,0.24014650285676065
12,SON,1.0002475304088498,0.8797876229666667,0.1091215960967099,-0.027484426557429664,0.1912313397166667,1.6804302524452877,-0.22032856313582314,0.40476700597758586
