trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_accuracy,val_f1_macro,val_auc_macro,val_bss
9,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,128,2,0.0,0.0003,0.0,32,12,60,0.8667600750923157,12,32,0.5974025974025974,0.5336855838225701,0.8916964451502377,0.1914179069482439
9,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,128,2,0.0,0.0003,0.0,32,12,60,1.074917197227478,5,25,0.42857142857142855,0.23010824684745004,0.48582289561645364,-0.11711862140552487
9,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,2,0.0,0.0003,0.0,32,12,60,1.0402357578277588,5,25,0.4230769230769231,0.20754716981132074,0.6571625656516351,0.029432241027079087
10,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,32,1,0.4,0.001,0.0,32,9,60,0.7981235384941101,18,38,0.6153846153846154,0.48214285714285715,0.8620485743723653,0.2671041423422368
10,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,32,1,0.4,0.001,0.0,32,9,60,1.0568959712982178,7,27,0.5512820512820513,0.23691460055096417,0.5584647984692707,-0.08037809414907038
10,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,1,0.4,0.001,0.0,32,9,60,1.035820722579956,7,27,0.48717948717948717,0.3006129184347006,0.6482414900975969,0.03562606191779305
11,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,128,1,0.4,0.001,0.0001,32,9,60,0.6803361773490906,6,26,0.7307692307692307,0.6808121790302831,0.9117085114135645,0.3937809693458998
11,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,128,1,0.4,0.001,0.0001,32,9,60,1.048776626586914,2,22,0.5384615384615384,0.2970356926799758,0.5940580737092365,-0.0748888580099425
11,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,1,0.4,0.001,0.0001,32,9,60,1.0489001274108887,3,23,0.5256410256410257,0.3772609819121447,0.6615356584770135,0.03850984422199988
12,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,64,2,0.4,0.0003,0.0,32,6,60,0.7487196922302246,55,60,0.7564102564102564,0.7501698228871548,0.8680228088534546,0.35698863167059036
12,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,64,2,0.4,0.0003,0.0,32,6,60,1.0262097120285034,12,32,0.5384615384615384,0.2333333333333333,0.5878715227673561,-0.0341412682310116
12,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,64,2,0.4,0.0003,0.0,32,6,60,0.9848025441169739,19,39,0.5949367088607594,0.4424603174603175,0.7589933601968529,0.16269193249432168
13,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,32,1,0.2,0.0003,0.0001,16,12,60,0.7998167508608335,22,42,0.7012987012987013,0.6695906432748537,0.8957595208536296,0.26639163861376847
13,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,32,1,0.2,0.0003,0.0001,16,12,60,1.1030867022353332,9,29,0.18181818181818182,0.1362284153448812,0.6195614704630996,-0.15367262460695774
13,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,1,0.2,0.0003,0.0001,16,12,60,0.9697264585739527,17,37,0.47435897435897434,0.29756149962401973,0.7334906089691487,0.08449573228642238
14,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,128,1,0.0,0.0003,0.0,16,12,60,0.7742823238496657,9,29,0.6623376623376623,0.6118250187708479,0.9020926372705028,0.27319041398057775
14,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,128,1,0.0,0.0003,0.0,16,12,60,1.058671068061482,4,24,0.3116883116883117,0.2097000280347631,0.5288703040661752,-0.09885678294329536
14,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,1,0.0,0.0003,0.0,16,12,60,1.0275115752831483,5,25,0.44871794871794873,0.20648967551622419,0.7042424272611504,0.03581527914560301
15,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,64,2,0.0,0.001,0.0,16,6,60,0.7833925302212055,10,30,0.7692307692307693,0.7604907637165702,0.8772266074954839,0.34218714635960834
15,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,64,2,0.0,0.001,0.0,16,6,60,1.0274320718569634,2,22,0.5384615384615384,0.2333333333333333,0.5777855439313773,-0.03188393442479365
15,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,64,2,0.0,0.001,0.0,16,6,60,1.0022025757198092,5,25,0.5316455696202531,0.4447497142532604,0.7399390039606146,0.14858585915192368
16,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,32,1,0.0,0.0003,0.0,32,9,60,0.8169441223144531,55,60,0.6025641025641025,0.49676660787771904,0.8265014308486439,0.26872661866446124
16,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,32,1,0.0,0.0003,0.0,32,9,60,0.9909541010856628,37,57,0.47435897435897434,0.37434854001570644,0.6369089541942851,-0.020386051300385066
16,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,1,0.0,0.0003,0.0,32,9,60,0.9803253412246704,27,47,0.5,0.3321074964639321,0.7467970145099603,0.11494263418980111
17,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,32,1,0.0,0.0003,0.0,32,6,60,0.7448568344116211,52,60,0.6923076923076923,0.6858585858585858,0.85976355368782,0.3058705668566907
17,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,32,1,0.0,0.0003,0.0,32,6,60,1.031081199645996,15,35,0.5384615384615384,0.2333333333333333,0.5119335718294051,-0.03709458551186584
17,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,32,1,0.0,0.0003,0.0,32,6,60,0.9876288771629333,24,44,0.5949367088607594,0.4401468788249694,0.7394909718498859,0.10161315680843774
18,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,32,1,0.2,0.0003,0.0001,32,12,60,0.9359795451164246,29,49,0.5714285714285714,0.5505743084857009,0.8813799105301081,0.12151612206200124
18,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,32,1,0.2,0.0003,0.0001,32,12,60,1.1066615581512451,15,35,0.15584415584415584,0.09302325581395349,0.602824283318003,-0.15935869722095464
18,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,1,0.2,0.0003,0.0001,32,12,60,0.9969857335090637,19,39,0.5,0.3556231003039514,0.6969588597425842,0.06732707367809887
19,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,32,2,0.2,0.0003,0.0,32,6,60,0.8224077224731445,35,55,0.5897435897435898,0.4521664521664522,0.8490345899973293,0.25380056819184493
19,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,32,2,0.2,0.0003,0.0,32,6,60,1.04142165184021,17,37,0.5384615384615384,0.25941619585687387,0.6168229918229918,-0.0480696757187411
19,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,32,2,0.2,0.0003,0.0,32,6,60,1.0165972709655762,17,37,0.569620253164557,0.40663040663040667,0.6673789158095339,0.06239608910981753
20,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,32,2,0.2,0.0003,0.0001,32,12,60,0.9087392687797546,40,60,0.6233766233766234,0.6074400472664424,0.8496625097650883,0.1726763373404021
20,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,32,2,0.2,0.0003,0.0001,32,12,60,1.0618159770965576,10,30,0.5584415584415584,0.2388888888888889,0.5388912321632132,-0.10112020370782648
20,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,2,0.2,0.0003,0.0001,32,12,60,0.9417805671691895,15,35,0.5256410256410257,0.4150254699382982,0.7682800588530863,0.12374507876071217
21,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,64,2,0.2,0.0003,0.0001,16,6,60,0.7076179415751727,18,38,0.7564102564102564,0.7567920585161966,0.8739792980717979,0.36961339598784804
21,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,64,2,0.2,0.0003,0.0001,16,6,60,1.0326327085494995,6,26,0.5384615384615384,0.2333333333333333,0.543891293891294,-0.03484334321706806
21,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,64,2,0.2,0.0003,0.0001,16,6,60,0.9838736917399153,12,32,0.620253164556962,0.5266419626884743,0.7506170013453523,0.17126389230357075
22,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,128,1,0.0,0.0003,0.0001,16,12,60,0.7740957102218231,7,27,0.6233766233766234,0.5530451675570666,0.914108290472868,0.2885849760782059
22,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,128,1,0.0,0.0003,0.0001,16,12,60,1.0457369259425573,4,24,0.5324675324675324,0.30757575757575756,0.5450727028640223,-0.08283109136424427
22,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,1,0.0,0.0003,0.0001,16,12,60,1.0108219385147095,4,24,0.4358974358974359,0.22976939203354296,0.7087940211410454,0.07775618264408812
23,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,32,1,0.0,0.0003,0.0,16,9,60,0.7571281867149549,32,52,0.6410256410256411,0.5247582232417201,0.8953292156729589,0.33144097364454195
23,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,32,1,0.0,0.0003,0.0,16,9,60,1.0294263424017491,26,46,0.4358974358974359,0.3927415065103263,0.7023531328540273,-0.06282260057402089
23,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,1,0.0,0.0003,0.0,16,9,60,1.037193347246219,13,33,0.48717948717948717,0.3125925925925926,0.6314330263137836,0.0343276899709446
24,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,64,2,0.4,0.0003,0.0001,32,12,60,0.8451501131057739,14,34,0.6363636363636364,0.4987856709168185,0.8586971006978535,0.2401336895938211
24,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,64,2,0.4,0.0003,0.0001,32,12,60,1.0693491697311401,19,39,0.5064935064935064,0.33083333333333337,0.5983930307832807,-0.09238685489013765
24,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,64,2,0.4,0.0003,0.0001,32,12,60,1.0312610864639282,12,32,0.46153846153846156,0.2992592592592593,0.6730603552044575,0.04702031336951484
25,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,32,2,0.2,0.001,0.0,32,12,60,0.7676795125007629,16,36,0.6623376623376623,0.6149776149776149,0.8731319699463874,0.3038507785943837
25,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,32,2,0.2,0.001,0.0,32,12,60,1.0395526885986328,11,31,0.4805194805194805,0.25396825396825395,0.5785237651983082,-0.057827852384209066
25,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,2,0.2,0.001,0.0,32,12,60,1.0531365871429443,4,24,0.44871794871794873,0.20648967551622419,0.6216552362598525,0.017543058998735206
26,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,128,2,0.0,0.001,0.0001,16,6,60,0.7344125050764817,8,28,0.6794871794871795,0.678043996076783,0.8723459628409422,0.3087303795896741
26,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,128,2,0.0,0.001,0.0001,16,6,60,0.9963129422603509,4,24,0.5,0.433915770609319,0.6295757675966009,-0.013264769602493676
26,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,128,2,0.0,0.001,0.0001,16,6,60,1.0054342595836785,6,26,0.620253164556962,0.5402698077116681,0.7209412065588481,0.1312545700664165
27,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,128,1,0.2,0.0003,0.0001,16,12,60,0.7128396963144278,8,28,0.6103896103896104,0.4806840739044129,0.9140764116295831,0.3413923492607652
27,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,128,1,0.2,0.0003,0.0001,16,12,60,1.0850831285699623,3,23,0.36363636363636365,0.23049352081610144,0.5639416367186545,-0.1297879051857036
27,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,1,0.2,0.0003,0.0001,16,12,60,1.0110067984996698,4,24,0.47435897435897434,0.2948717948717949,0.7080873788415366,0.0587891390944717
28,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,128,1,0.4,0.0003,0.0001,32,12,60,0.7783520221710205,12,32,0.6103896103896104,0.48245614035087714,0.9031615800390504,0.2717769315317209
28,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,128,1,0.4,0.0003,0.0001,32,12,60,1.0771018266677856,6,26,0.37662337662337664,0.2775641025641026,0.5642438562970834,-0.12166546820045498
28,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,1,0.4,0.0003,0.0001,32,12,60,0.9947717189788818,8,28,0.5128205128205128,0.36690457309014013,0.7056477084622895,0.08802782184386038
29,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,64,1,0.4,0.0003,0.0001,32,9,60,0.805173933506012,28,48,0.717948717948718,0.6957671957671957,0.8793282386505115,0.2898098586666429
29,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,64,1,0.4,0.0003,0.0001,32,9,60,1.0350236892700195,13,33,0.5256410256410257,0.3182227019248067,0.6169619512866382,-0.06476728304482027
29,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,64,1,0.4,0.0003,0.0001,32,9,60,1.0209587812423706,15,35,0.5128205128205128,0.33870815652993874,0.6695385356249691,0.05657144844924977
