feature_i,feature_j,mean_abs_shap_product,signed_shap_corr
d20_nino4,sst_nino12,0.04118093654054459,-0.11195977761154635
d20_nino4,tauu_eq,0.03144905643986883,0.2496138423641357
sst_nino12,tauu_eq,0.02596033723567411,0.2492374620313917
d20_nino4,d20_nino34,0.01619496578171422,0.09900160217143002
sst_nino12,d20_nino34,0.01280163923938759,-0.24020967978837052
d20_nino4,slp_eq,0.011669803882974132,0.2782249725208321
tauu_eq,d20_nino34,0.010194125257485597,0.3819284172007067
sst_nino12,slp_eq,0.009130830923838007,-0.14453237465934146
d20_nino4,sst_nino4,0.008611827909208525,0.010863131291520748
d20_nino4,sst_nino34,0.007258945200564562,0.16019204457995923
sst_nino12,sst_nino4,0.0071522238485440546,-0.1119143000681994
tauu_eq,slp_eq,0.007027263047271862,0.4447824163393846
d20_nino4,sst_nino3,0.006615993313896326,-0.031607935363125866
sst_nino12,sst_nino3,0.006227401533584383,0.3769723572589776
sst_nino12,sst_nino34,0.006218913809620471,0.28201662119078974
tauu_eq,sst_nino4,0.00583316857863176,0.5022995271447219
sst_nino12,olr_eq,0.004440909079023042,0.10832443427011311
d20_nino4,olr_eq,0.0043919816550960274,-0.3946804563950385
tauu_eq,sst_nino34,0.004125578703767926,0.08104339352923666
tauu_eq,sst_nino3,0.0037481707830912723,-0.09404035262205755
d20_nino34,slp_eq,0.003557076673508172,0.1289165891323453
tauu_eq,olr_eq,0.0032468626349771625,0.2912763016960546
d20_nino34,sst_nino4,0.0032247549412912717,0.6582063315832534
d20_nino34,sst_nino34,0.002151373255790055,-0.10998672181798307
d20_nino34,sst_nino3,0.0021170470479515823,-0.011781590698061771
slp_eq,sst_nino4,0.0020124143455733812,0.28481876898102515
d20_nino34,olr_eq,0.0017784592514777963,0.36239237262803986
slp_eq,sst_nino34,0.0014886989208759208,-0.16938624422906617
slp_eq,sst_nino3,0.001383971805123311,-0.2582723372445302
sst_nino34,sst_nino3,0.0011667261097357826,0.8623262200003985
slp_eq,olr_eq,0.0011108568968993154,-0.04592952275861604
sst_nino4,sst_nino34,0.0010794806982911342,-0.41675444287011765
sst_nino4,olr_eq,0.001003109343837064,0.4436093399235725
sst_nino4,sst_nino3,0.000988536311538221,-0.424976257195559
sst_nino34,olr_eq,0.0007191578512761839,0.02972472638488853
sst_nino3,olr_eq,0.0007099363142542759,0.09254938313654823
