trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_accuracy,val_f1_macro,val_auc_macro,val_bss
1,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_bss,0.3423436985467868,256,1,0.0,0.0005,0.0,16,6,60,0.6305888554988763,6,26,0.6410256410256411,0.6024806201550388,0.8704944637027189,0.3423436985467868
1,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_bss,-0.03643156125449831,256,1,0.0,0.0005,0.0,16,6,60,1.0580618228667822,1,21,0.5,0.31283271038622723,0.5753022002643903,-0.03643156125449831
1,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_bss,0.001669120431975979,256,1,0.0,0.0005,0.0,16,6,60,1.020960370951061,1,21,0.4810126582278481,0.3448416751787538,0.6016784282295621,0.001669120431975979
2,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_bss,0.258703116848752,32,2,0.0,0.001,0.0001,64,6,60,0.7590907216072083,29,49,0.6153846153846154,0.44149755542160607,0.8404811479107915,0.258703116848752
2,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_bss,-0.007486005307491217,32,2,0.0,0.001,0.0001,64,6,60,1.0318408012390137,9,29,0.5128205128205128,0.22598870056497175,0.5018750980260357,-0.007486005307491217
2,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_bss,0.004262424651728214,32,2,0.0,0.001,0.0001,64,6,60,1.012751817703247,10,30,0.43037974683544306,0.29654403567447046,0.603918898420396,0.004262424651728214
3,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_bss,0.015399948060114244,32,1,0.0,0.0001,0.0001,32,6,60,1.008382797241211,60,60,0.5,0.4982486177991796,0.8305498016004583,0.015399948060114244
3,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_bss,-0.06114460638175978,32,1,0.0,0.0001,0.0001,32,6,60,1.0728049278259277,60,60,0.2948717948717949,0.27139992440113525,0.4735436131836616,-0.06114460638175978
3,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_bss,-0.0013958109275526986,32,1,0.0,0.0001,0.0001,32,6,60,1.0153594017028809,53,60,0.5063291139240507,0.3682539682539683,0.6080441183564846,-0.0013958109275526986
4,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_bss,0.504842419483162,256,2,0.0,0.001,1e-05,32,9,60,0.5621895790100098,3,23,0.8333333333333334,0.8514812992424933,0.9363144841269841,0.504842419483162
4,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_bss,-0.004585101847972117,256,2,0.0,0.001,1e-05,32,9,60,1.0309007167816162,1,21,0.47435897435897434,0.24016715830875124,0.5241339577757954,-0.004585101847972117
4,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_bss,0.008555163020360967,256,2,0.0,0.001,1e-05,32,9,60,1.0166196823120117,1,21,0.44871794871794873,0.31724137931034485,0.577509324346369,0.008555163020360967
5,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_bss,0.3419155878093286,64,1,0.3,0.0005,0.0001,16,9,60,0.6533445456089118,13,33,0.5769230769230769,0.40392076781703085,0.8801686507936508,0.3419155878093286
